64,32,1,1200000,293624.292
64,32,1,3001000,440300.71925
64,32,256,1200000,74810465.1937
64,32,256,3001000,180097958.832
1024,32,1,1200000,1577584.958
1024,32,1,3001000,2123490.44925
1024,32,256,1200000,389432731.56
1024,32,256,3001000,676716448.546
1024,512,1,1200000,968924.87525
1024,512,1,3001000,1214328.64675
1024,512,256,1200000,275002627.854
1024,512,256,3001000,582030183.747
64,32,32,3000000,20292565.6808
64,32,64,3000000,49860094.5445
64,32,128,1800000,64818359.368
64,32,128,2300000,70253219.3218
64,32,128,3001000,106319303.556
64,32,256,2400000,147284634.815
64,32,256,2900000,160679395.01
64,32,256,3000000,182876762.944
256,32,8,2800000,11695978.4605
256,32,32,2800000,32449016.5385
256,32,32,3001000,45351047.0553
256,32,64,2700000,93041532.6973
256,32,128,1200000,130036993.245
256,32,128,1500000,118820912.562
256,32,128,2700000,198130956.568
256,32,128,3001000,252978914.57
256,32,256,1600000,282798628.629
256,32,256,1900000,319439779.262
256,32,256,2000000,381763592.864
256,32,256,2100000,300829100.078
256,32,256,2300000,347516953.034
256,32,256,2400000,441244849.602
256,32,256,2700000,429464974.035
256,32,256,2900000,449886138.335
256,32,256,3001000,518493952.216
256,128,16,1400000,14419981.5065
256,128,16,3001000,17576788.3875
256,128,64,2100000,76066892.479
256,128,64,2500000,97552277.6855
256,128,64,2900000,100619877.544
256,128,128,1400000,136656099.921
256,128,128,1800000,150956444.765
256,128,128,2000000,178542554.627
256,128,128,2500000,194448279.353
256,128,128,2700000,222030383.672
256,128,128,3000000,227032558.84
256,128,256,1500000,258550935.61
256,128,256,1800000,291812142.081
256,128,256,1900000,341286461.175
256,128,256,2100000,350654214.562
256,128,256,2300000,357511190.71
256,128,256,2400000,384698412.699
256,128,256,2700000,445727373.461
256,128,256,2800000,426083112.017
256,128,256,3000000,486263560.828
256,128,256,3001000,529077060.533
1024,32,2,3000000,4168265.28775
1024,32,4,2700000,6499359.89275
1024,32,8,1200000,9394076.62925
1024,32,32,2400000,58632454.285
1024,32,32,3001000,61002545.141
1024,32,64,1400000,90993328.2912
1024,32,64,2000000,126457786.197
1024,32,64,2800000,123427313.473
1024,32,128,1200000,184701450.701
1024,32,128,1400000,213081659.72
1024,32,128,1800000,218397459.546
1024,32,128,1900000,235402983.424
1024,32,128,2000000,232955405.66
1024,32,128,2400000,275715764.888
1024,32,128,2900000,288954091.848
1024,32,128,3000000,278723853.056
1024,32,128,3001000,314031810.932
1024,32,256,1400000,422060643.27
1024,32,256,1500000,390865992.222
1024,32,256,1800000,458024946.461
1024,32,256,2000000,478905772.321
1024,32,256,2100000,471523135.748
1024,32,256,2300000,509468199.235
1024,32,256,2400000,526278102.751
1024,32,256,2500000,544557886.945
1024,32,256,2800000,552586214.811
1024,32,256,2900000,617236460.672
1024,32,256,3000000,660712635.007
1024,128,1,2100000,1707799.18275
1024,128,16,1500000,22611312.7217
1024,128,32,2300000,53300515.073
1024,128,32,3001000,55887650.3905
1024,128,64,2000000,111527052.723
1024,128,64,2800000,134763979.584
1024,128,128,1400000,201660921.577
1024,128,128,1600000,206192740.935
1024,128,128,1900000,209753242.341
1024,128,128,2400000,256129095.227
1024,128,128,2500000,248897564.233
1024,128,128,2800000,286410218.907
1024,128,128,3000000,308245253.895
1024,128,128,3001000,339293939.819
1024,128,256,1200000,365744959.84
1024,128,256,1400000,398985373.187
1024,128,256,1600000,394772467.909
1024,128,256,1800000,435691489.682
1024,128,256,1900000,466739439.065
1024,128,256,2000000,461548328.416
1024,128,256,2100000,499350437.319
1024,128,256,2300000,511745467.769
1024,128,256,2500000,535088325.803
1024,128,256,2700000,561863593.378
1024,128,256,2800000,574518187.033
1024,128,256,2900000,586153172.137
1024,128,256,3001000,643755097.515
1024,512,32,1400000,36940610.5222
1024,512,32,1800000,41641333.6155
1024,512,64,1400000,79268238.7205
1024,512,64,1600000,82594546.2023
1024,512,64,1800000,87604420.4515
1024,512,64,2900000,114273547.677
1024,512,128,1400000,155313034.465
1024,512,128,1600000,166295318.851
1024,512,128,1800000,170829592.222
1024,512,128,1900000,175531522.186
1024,512,128,2100000,191747756.161
1024,512,128,2700000,240321383.1
1024,512,128,2900000,245993615.865
1024,512,256,1600000,329606428.284
1024,512,256,1800000,333750152.409
1024,512,256,2300000,409728886.495
1024,512,256,2900000,506192788.966
