"","lowvar","highvar"
"106",-0.0828955567553775,0.41773754325537
"107",-0.082507285034179,0.415780916371162
"108",-0.0821244185365911,0.413851528158364
"109",-0.0817468330030496,0.41194875243281
"110",-0.0813744081367726,0.410071982980077
"111",-0.0810070274427414,0.408220632744057
"112",-0.0806445780746064,0.406394133055468
"113",-0.0802869506890617,0.404591932897996
"114",-0.0799340393072601,0.402813498209925
"115",-0.0795857411828714,0.401058311219241
"116",-0.0792419566764102,0.399325869810323
"117",-0.0789025891354837,0.397615686920477
"118",-0.0785675447806333,0.395927289964657
"119",-0.0782367325964641,0.394260220286826
"120",-0.077910064227774,0.392614032636522
"121",-0.0775874538804148,0.390988294669259
"122",-0.0772688182266314,0.389382586469508
"123",-0.0769540763146428,0.38779650009504
"124",-0.076643149482242,0.386229639141533
"125",-0.0763359612742044,0.38468161832636
"126",-0.0760324373633096,0.383152063090599
"127",-0.0757325054747894,0.3816406092183
"128",-0.0754360953140297,0.380146902472146
"129",-0.0751431384973596,0.378670598244685
"130",-0.0748535684857753,0.377211361224339
"131",-0.0745673205214516,0.375768865075464
"132",-0.0742843315669038,0.374342792131771
"133",-0.0740045402466706,0.372932833102444
"134",-0.0737278867913944,0.371538686790341
"135",-0.0734543129841846,0.370160059821708
"136",-0.0731837621091544,0.368796666386831
"137",-0.0729161789020262,0.367448227991129
"138",-0.0726515095027109,0.366114473216176
"139",-0.0723897014097655,0.364795137490207
"140",-0.0721307034366436,0.363489962867648
"141",-0.0718744656696564,0.362198697817262
"142",-0.071620939427563,0.36092109701852
"143",-0.0713700772227196,0.359656921165812
"144",-0.0711218327237136,0.358405936780154
"145",-0.0708761607194186,0.357167916028045
"146",-0.0706330170844055,0.355942636547164
"147",-0.0703923587456495,0.354729881278598
"148",-0.0701541436504772,0.353529438305311
"149",-0.0699183307356982,0.352341100696598
"150",-0.0696848798978709,0.351164666358233
"151",-0.0694537519646533,0.349999937888106
"152",-0.0692249086671911,0.348846722437073
"153",-0.0689983126135016,0.347704831574828
"154",-0.0687739272628082,0.346574081160572
"155",-0.0685517169007884,0.345454291218272
"156",-0.0683316466156949,0.344345285816333
"157",-0.0681136822753151,0.343246892951487
"158",-0.0678977905047338,0.342158944436733
"159",-0.067683938664866,0.341081275793158
"160",-0.0674720948317295,0.34001372614548
"161",-0.0672622277764263,0.338956138121175
"162",-0.0670543069458042,0.337908357753019
"163",-0.0668483024437729,0.336870234384935
"164",-0.0666441850132471,0.335841620580999
"165",-0.0664419260186922,0.334822372037486
"166",-0.0662414974292498,0.333812347497825
"167",-0.0660428718024194,0.332811408670373
"168",-0.0658460222682752,0.331819420148877
"169",-0.0656509225141971,0.330836249335527
"170",-0.065457546770097,0.329861766366507
"171",-0.0652658697941203,0.328895844039941
"172",-0.0650758668588059,0.327938357746148
"173",-0.0648875137376862,0.326989185400118
"174",-0.0647007866923119,0.326048207376119
"175",-0.0645156624596851,0.325115306444374
"176",-0.064332118240085,0.324190367709712
"177",-0.0641501316852731,0.323273278552123
"178",-0.0639696808870634,0.322363928569167
"179",-0.0637907443662438,0.321462209520143
"180",-0.063613301061837,0.320568015271967
"181",-0.0634373303206877,0.319681241746705
"182",-0.0632628118873654,0.318801786870685
"183",-0.0630897258943705,0.317929550525148
"184",-0.0629180528526342,0.317064434498366
"185",-0.0627477736423009,0.316206342439198
"186",-0.0625788695037832,0.315355179812011
"187",-0.0624113220290812,0.314510853852934
"188",-0.062245113153355,0.313673273527393
"189",-0.0620802251467438,0.312842349488879
"190",-0.0619166406064215,0.312017994038919
"191",-0.0617543424488816,0.311200121088193
"192",-0.0615933139024433,0.310388646118773
"193",-0.0614335384999715,0.309583486147435
"194",-0.0612750000718034,0.308784559690014
"195",-0.0611176827388749,0.307991786726766
"196",-0.0609615709060402,0.307205088668703
"197",-0.060806649255578,0.306424388324871
"198",-0.0606529027408785,0.30564960987053
"199",-0.0605003165803048,0.304880678816228
"200",-0.0603488762512238,0.304117521977717
"201",-0.0601985674841999,0.303360067446691
"202",-0.0600493762573481,0.302608244562332
"203",-0.0599012887908388,0.30186198388362
"204",-0.0597542915415526,0.301121217162391
"205",-0.0596083711978773,0.300385877317123
"206",-0.0594635146746446,0.299655898407417
"207",-0.0593197091082017,0.298931215609163
"208",-0.0591769418516128,0.298211765190358
"209",-0.0590352004699874,0.297497484487563
"210",-0.0588944727359313,0.296788311882981
"211",-0.0587547466251157,0.296084186782127
"212",-0.0586160103119617,0.295385049592081
"213",-0.058478252165437,0.294690841700306
"214",-0.0583414607449593,0.294001505454005
"215",-0.0582056247964063,0.293316984140013
"216",-0.0580707332482258,0.292637221965194
"217",-0.0579367752076461,0.291962164037347
"218",-0.0578037399569807,0.291291756346578
"219",-0.0576716169500268,0.29062594574716
"220",-0.0575403958085537,0.289964679939827
"221",-0.0574100663188785,0.289307907454526
"222",-0.0572806184285272,0.288655577633586
"223",-0.0571520422429774,0.288007640615307
"224",-0.0570243280224822,0.28736404731795
"225",-0.0568974661789709,0.286724749424123
"226",-0.0567714472730255,0.286089699365545
"227",-0.0566462620109309,0.285458850308177
"228",-0.0565219012417957,0.284832156137714
"229",-0.0563983559547425,0.284209571445428
"230",-0.0562756172761659,0.28359105151435
"231",-0.056153676467055,0.282976552305775
"232",-0.0560325249203803,0.282366030446096
"233",-0.0559121541585416,0.28175944321394
"234",-0.0557925558308765,0.281156748527617
"235",-0.0556737217112272,0.280557904932854
"236",-0.0555556436955636,0.279962871590822
"237",-0.0554383137996621,0.279371608266433
"238",-0.0553217241568384,0.278784075316917
"239",-0.0552058670157312,0.278200233680657
"240",-0.0550907347381385,0.277620044866281
"241",-0.0549763197969019,0.277043470942
"242",-0.0548626147738398,0.276470474525197
"243",-0.0547496123577274,0.275901018772243
"244",-0.0546373053423218,0.275335067368546
"245",-0.0545256866244317,0.274772584518829
"246",-0.054414749202031,0.274213534937613
"247",-0.0543044861724132,0.273657883839926
"248",-0.0541948907303876,0.273105596932211
"249",-0.0540859561665152,0.272556640403432
"250",-0.0539776758653836,0.272010980916384
"251",-0.0538700433039194,0.27146858559919
"252",-0.0537630520497376,0.270929422036979
"253",-0.0536566957595271,0.270393458263752
"254",-0.053550968177471,0.269860662754425
"255",-0.0534458631337009,0.269331004417033
"256",-0.0533413745427852,0.268804452585116
"257",-0.0532374964022483,0.268280977010256
