64,32,1200000,19582074.5663
64,32,3001000,40516920.9139
1024,32,1200000,84609693.4203
1024,32,3001000,137294955.349
1024,512,1200000,60749947.9325
1024,512,3001000,119603551.797
64,32,2000000,27599499.309
64,32,2900000,38681338.3694
256,32,1200000,56736680.0263
256,32,1600000,62460251.0541
256,128,1200000,47436108.5187
256,128,2100000,75075705.1906
1024,128,2400000,107581545.82
1024,128,2800000,122436803.185
1024,128,3001000,136530464.607
1024,512,1400000,67939137.6391
1024,512,2100000,83308985.865
1024,512,2400000,89667937.1062
1024,512,2800000,101548100.993
