1,1200000,917589.975833
1,3001000,1210432.69871
256,1200000,260546741.509
256,3001000,521695116.898
16,2300000,19128065.3503
32,1500000,36841960.1107
64,1200000,68209537.4607
64,1900000,84759493.4157
64,2700000,103035424.609
128,1200000,134466845.893
128,1400000,149446324.442
128,2100000,181805704.309
128,2500000,205519845.56
128,2900000,225961166.445
128,3001000,264631406.297
256,1400000,287160475.257
256,1900000,335625835.836
256,2000000,357722622.102
256,2300000,378074393.851
256,2500000,392909204.102
256,2700000,440660339.453
256,3000000,474454375.821
