File Size,Record Size,Num Threads,Frequency,Time Estimate
1024,64,16,1.6,15.5015625
4096,64,16,1.6,16.28625
8192,64,16,1.6,17.3325
12288,64,16,1.6,18.37875
16384,64,16,1.6,19.425
256,256,16,1.6,15.30539063
1024,256,16,1.6,15.5015625
4096,256,16,1.6,16.28625
8192,256,16,1.6,17.3325
12288,256,16,1.6,18.37875
16384,256,16,1.6,19.425
1024,1024,16,1.6,15.5015625
4096,1024,16,1.6,16.28625
8192,1024,16,1.6,17.3325
12288,1024,16,1.6,18.37875
16384,1024,16,1.6,19.425
4096,4096,16,1.6,16.28625
8192,4096,16,1.6,17.3325
12288,4096,16,1.6,18.37875
16384,4096,16,1.6,19.425
8192,8192,16,1.6,17.3325
16384,8192,16,1.6,19.425
12288,12288,16,1.6,18.37875
16384,16384,16,1.6,19.425
4,4,24,1.6,15.24153259
16,4,24,1.6,15.24613037
64,4,24,1.6,15.26452148
256,4,24,1.6,15.33808594
1024,4,24,1.6,15.63234375
4096,4,24,1.6,16.809375
8192,4,24,1.6,18.37875
12288,4,24,1.6,19.948125
16384,4,24,1.6,21.5175
16,16,24,1.6,15.24613037
64,16,24,1.6,15.26452148
256,16,24,1.6,15.33808594
1024,16,24,1.6,15.63234375
4096,16,24,1.6,16.809375
8192,16,24,1.6,18.37875
12288,16,24,1.6,19.948125
16384,16,24,1.6,21.5175
64,64,24,1.6,15.26452148
256,64,24,1.6,15.33808594
1024,64,24,1.6,15.63234375
4096,64,24,1.6,16.809375
8192,64,24,1.6,18.37875
12288,64,24,1.6,19.948125
16384,64,24,1.6,21.5175
256,256,24,1.6,15.33808594
1024,256,24,1.6,15.63234375
4096,256,24,1.6,16.809375
8192,256,24,1.6,18.37875
12288,256,24,1.6,19.948125
16384,256,24,1.6,21.5175
1024,1024,24,1.6,15.63234375
4096,1024,24,1.6,16.809375
8192,1024,24,1.6,18.37875
12288,1024,24,1.6,19.948125
16384,1024,24,1.6,21.5175
4096,4096,24,1.6,16.809375
8192,4096,24,1.6,18.37875
12288,4096,24,1.6,19.948125
16384,4096,24,1.6,21.5175
8192,8192,24,1.6,18.37875
16384,8192,24,1.6,21.5175
12288,12288,24,1.6,19.948125
16384,16384,24,1.6,21.5175
4,4,32,1.6,15.24204346
16,4,32,1.6,15.24817383
64,4,32,1.6,15.27269531
256,4,32,1.6,15.37078125
1024,4,32,1.6,15.763125
4096,4,32,1.6,17.3325
8192,4,32,1.6,19.425
12288,4,32,1.6,21.5175
16384,4,32,1.6,23.61
16,16,32,1.6,15.24817383
64,16,32,1.6,15.27269531
256,16,32,1.6,15.37078125
1024,16,32,1.6,15.763125
4096,16,32,1.6,17.3325
8192,16,32,1.6,19.425
12288,16,32,1.6,21.5175
16384,16,32,1.6,23.61
64,64,32,1.6,15.27269531
256,64,32,1.6,15.37078125
1024,64,32,1.6,15.763125
4096,64,32,1.6,17.3325
8192,64,32,1.6,19.425
12288,64,32,1.6,21.5175
16384,64,32,1.6,23.61
256,256,32,1.6,15.37078125
1024,256,32,1.6,15.763125
4096,256,32,1.6,17.3325
8192,256,32,1.6,19.425
12288,256,32,1.6,21.5175
16384,256,32,1.6,23.61
1024,1024,32,1.6,15.763125
4096,1024,32,1.6,17.3325
8192,1024,32,1.6,19.425
12288,1024,32,1.6,21.5175
