64,1,1200000,293624.292
64,1,3001000,440300.71925
64,256,1200000,74810465.1937
64,256,3001000,180097958.832
1024,1,1200000,1268529.39767
1024,1,3001000,1582802.15725
1024,256,1200000,343393439.751
1024,256,3001000,634167243.269
64,1,1400000,320320.0945
64,256,2700000,152079581.301
64,256,3000000,182876762.944
256,64,1500000,65529064.4674
256,64,2400000,97515149.0074
256,256,1800000,302708379.253
256,256,2300000,352514071.872
256,256,2800000,410173209.391
256,256,2900000,445694772.506
1024,128,2100000,222253128.402
1024,256,2300000,476980851.167
1024,256,2500000,505403066.749
1024,256,2800000,533204549.549
1024,256,2900000,569860807.258
