Machine,Store,Journal,Hyp,Hyp_Sched,VM_Sched,RCU,F_size,R_Size,Threads,Mode,Freq,Throughput
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,1,Fread,1200000,2648347.5
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,1,Fread,1200000,2237118.5
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,1,Fread,1200000,2200514.0
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,1,Fread,1200000,2273843.75
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,1,Fread,1200000,2359506.75
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,1,Fread,1200000,2401298.75
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,1,Fread,1200000,2195223.5
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,1,Fread,1200000,2471198.5
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,1,Fread,1200000,2399367.0
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,1,Fread,1200000,2152829.5
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,1,Fread,1200000,2272727.0
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,1,Fread,1200000,2168026.0
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,1,Fread,1200000,2217785.5
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,1,Fread,1200000,2189815.25
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,1,Fread,1200000,2372855.5
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,1,Fread,1200000,2214675.0
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,1,Fread,1200000,2180140.25
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,1,Fread,1200000,2445934.5
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,1,Fread,1200000,1541566.5
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,1,Fread,1200000,2560634.75
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,2,Fread,1200000,4780503.25
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,2,Fread,1200000,4053169.62
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,2,Fread,1200000,4524251.5
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,2,Fread,1200000,4718572.75
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,2,Fread,1200000,4700570.5
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,2,Fread,1200000,4163332.25
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,2,Fread,1200000,4514473.75
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,2,Fread,1200000,4574620.0
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,2,Fread,1200000,4981607.75
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,2,Fread,1200000,4460953.0
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,2,Fread,1200000,4575019.0
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,2,Fread,1200000,4379822.0
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,2,Fread,1200000,4587792.5
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,2,Fread,1200000,4406841.0
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,2,Fread,1200000,4412019.25
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,2,Fread,1200000,4564962.75
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,2,Fread,1200000,4621680.25
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,2,Fread,1200000,4962162.5
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,2,Fread,1200000,3892591.62
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,2,Fread,1200000,5019002.5
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,2,Fread,1200000,4494682.5
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,2,Fread,1200000,4589604.5
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,2,Fread,1200000,5091246.75
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,2,Fread,1200000,4728308.75
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,2,Fread,1200000,4567950.25
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,2,Fread,1200000,4519163.5
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,2,Fread,1200000,3991798.0
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,2,Fread,1200000,4507847.0
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,2,Fread,1200000,4357986.75
new,HDD,yes,xen,CFQ,NOOP,128,32000,4,2,Fread,1200000,4734061.25
