Test Name,N,Trial,Equispaced,PMQSI fit,PCHIP fit,PMQSI eval,PCHIP eval
large_tangent,8,0,True,0.00016570091247558594,0.00041675567626953125,9.60826873779297e-07,7.772445678710937e-07
large_tangent,8,0,False,9.703636169433594e-05,0.0003790855407714844,9.107589721679687e-07,3.9815902709960936e-07
large_tangent,8,1,True,0.00010991096496582031,0.0003490447998046875,7.700920104980469e-07,4.291534423828125e-07
large_tangent,8,1,False,9.298324584960938e-05,0.0003142356872558594,6.985664367675782e-07,3.3140182495117185e-07
large_tangent,8,2,True,8.988380432128906e-05,0.000308990478515625,6.556510925292969e-07,3.695487976074219e-07
large_tangent,8,2,False,9.202957153320312e-05,0.00030803680419921875,6.4849853515625e-07,3.1948089599609377e-07
large_tangent,8,3,True,8.606910705566406e-05,0.00030517578125,6.580352783203124e-07,3.0994415283203126e-07
large_tangent,8,3,False,8.96453857421875e-05,0.00036597251892089844,6.604194641113281e-07,3.290176391601562e-07
large_tangent,8,4,True,8.821487426757812e-05,0.0004596710205078125,1.1110305786132813e-06,8.177757263183594e-07
large_tangent,8,4,False,0.00010800361633300781,0.0005810260772705078,1.239776611328125e-06,6.794929504394531e-07
large_tangent,8,5,True,0.00010609626770019531,0.0003991127014160156,7.605552673339844e-07,5.698204040527344e-07
large_tangent,8,5,False,9.226799011230469e-05,0.00038313865661621094,8.988380432128906e-07,3.4809112548828124e-07
large_tangent,8,6,True,9.274482727050781e-05,0.0005729198455810547,6.699562072753906e-07,5.793571472167969e-07
large_tangent,8,6,False,0.00014066696166992188,0.00045228004455566406,1.0204315185546876e-06,5.102157592773438e-07
large_tangent,8,7,True,0.00015091896057128906,0.0006699562072753906,8.416175842285156e-07,5.006790161132813e-07
large_tangent,8,7,False,0.00011396408081054688,0.000370025634765625,8.273124694824219e-07,3.8862228393554685e-07
large_tangent,8,8,True,0.000102996826171875,0.00035572052001953125,7.700920104980469e-07,3.695487976074219e-07
large_tangent,8,8,False,0.00010395050048828125,0.0003578662872314453,7.677078247070313e-07,3.814697265625e-07
large_tangent,8,9,True,0.00010395050048828125,0.00035309791564941406,7.581710815429688e-07,3.814697265625e-07
large_tangent,8,9,False,0.00010013580322265625,0.0003528594970703125,1.2993812561035157e-06,3.62396240234375e-07
large_tangent,8,10,True,9.679794311523438e-05,0.00034308433532714844,7.677078247070313e-07,3.600120544433594e-07
large_tangent,8,10,False,9.822845458984375e-05,0.0003409385681152344,7.200241088867188e-07,3.5762786865234375e-07
