32,1,606175987981
32,256,2.3412684e+16
512,1,136279243843
512,256,1.29608387801e+15
32,4,8.50862649056e+12
32,8,2.31317079794e+13
32,16,7.81941670264e+13
32,32,2.80415018892e+14
32,64,1.36287787694e+15
32,128,5.67644354319e+15
128,1,508206649104
128,4,5.94195290449e+12
128,8,1.78309358962e+13
128,16,6.29253925824e+13
128,32,2.46904491796e+14
128,64,1.09460265647e+15
128,128,4.66023656268e+15
128,256,1.94163520764e+16
512,16,1.1661333925e+13
512,32,4.89097120006e+13
512,64,1.51602622711e+14
512,128,3.4144164401e+14
