Tensorflow network name,Number of steps,Batch size,Cache,DB,TIme (sec) 1,TIme (sec) 2,TIme (sec) 3,TIme (sec) 4,TIme (sec) 5,TIme (sec) 6,TIme (sec) 7,TIme (sec) 8,TIme (sec) 9,TIme (sec) 10,TIme (sec) 11,TIme (sec) 12,TIme (sec) 13,TIme (sec) 14,TIme (sec) 15,TIme (sec) 16,TIme (sec) 17,TIme (sec) 18,TIme (sec) 19,TIme (sec) 20,TIme (sec) 21,TIme (sec) 22,TIme (sec) 23,TIme (sec) 24,TIme (sec) 25,TIme (sec) 26,TIme (sec) 27,TIme (sec) 28,TIme (sec) 29,TIme (sec) 30
AlexNet,3125,32,cold,LMDB,853.35 ,864.85 ,836.53 ,822.10 ,902.98 ,840.74 ,853.48 ,857.04 ,865.34 ,878.32 ,835.11 ,802.94 ,837.71 ,921.33 ,837.26 ,865.40 ,810.08 ,868.80 ,818.40 ,845.48 ,846.11 ,867.15 ,841.53 ,798.03 ,870.31 ,900.10 ,865.56 ,922.97 ,875.99 ,856.75 
AlexNet,3125,32,cold,TFRecord,803.16 ,858.88 ,885.01 ,868.45 ,814.88 ,847.35 ,871.56 ,858.95 ,845.39 ,815.16 ,813.39 ,858.13 ,878.97 ,869.17 ,800.65 ,850.24 ,861.85 ,823.30 ,826.74 ,885.06 ,904.73 ,865.06 ,871.20 ,888.94 ,915.86 ,934.74 ,816.98 ,885.22 ,844.81 ,850.35 
AlexNet,3125,32,warm,LMDB,857.74 ,833.94 ,811.71 ,891.08 ,892.31 ,866.40 ,870.14 ,896.48 ,868.36 ,867.48 ,828.92 ,878.57 ,874.38 ,898.85 ,850.89 ,881.32 ,856.17 ,835.80 ,827.20 ,921.81 ,865.57 ,922.14 ,800.32 ,851.69 ,854.38 ,889.07 ,820.53 ,854.58 ,827.26 ,821.29 
AlexNet,3125,32,warm,TFRecord,879.64 ,859.99 ,880.01 ,825.54 ,848.06 ,827.45 ,857.75 ,812.37 ,924.68 ,844.80 ,836.19 ,826.75 ,839.07 ,845.92 ,873.82 ,827.26 ,831.59 ,872.65 ,840.79 ,848.09 ,867.99 ,844.56 ,901.53 ,855.17 ,863.07 ,828.00 ,885.05 ,834.04 ,909.28 ,921.13 
