32,1,1200000,894560.42075
32,1,3001000,1270577.78767
32,256,1200000,240838867.246
32,256,3001000,458436119.865
512,1,1200000,968924.87525
512,1,3001000,1214328.64675
512,256,1200000,275002627.854
512,256,3001000,582030183.747
32,16,2900000,18771836.7311
32,32,2800000,37544686.2958
32,64,1900000,76077804.6222
32,128,1200000,122421892.006
32,128,2000000,155867425.863
32,256,1900000,282790207.629
32,256,2400000,371602529.056
32,256,2700000,385550067.317
128,4,3000000,5637106.16213
128,64,2000000,97582829.6031
128,128,1400000,169158510.749
128,128,1600000,179371404.608
128,128,2400000,230451133.85
128,128,2700000,240128404.515
128,128,3000000,267638906.368
128,256,1500000,321494320.428
128,256,1600000,343212090.355
128,256,2100000,425002325.941
128,256,2300000,434628329.24
128,256,2500000,445488129.03
128,256,2800000,500300649.525
128,256,3000000,536725854.602
128,256,3001000,586416079.024
512,32,2500000,47597395.236
512,64,1200000,67544891.106
512,64,2900000,114273547.677
512,128,1200000,138785392.438
512,128,2100000,191747756.161
512,128,2300000,205332482.205
512,128,3000000,256282833.296
512,128,3001000,290998336.596
512,256,1400000,307061980.776
512,256,2000000,355634772.344
512,256,2400000,409777228.7
512,256,2700000,479720867.925
