64,1200000,5.59107985645e+14
64,3001000,2.42971582752e+15
1024,1200000,1.56506927294e+15
1024,3001000,3.28411652704e+15
64,1500000,7.32105977243e+14
64,1900000,1.0380466006e+15
64,2300000,1.42168822625e+15
256,1500000,2.47170787067e+15
256,2000000,3.37424738932e+15
256,2100000,3.69852736017e+15
256,2400000,4.35707268886e+15
256,2700000,5.38672828333e+15
256,2800000,5.62996772379e+15
256,2900000,6.09958097763e+15
256,3001000,7.59701971434e+15
1024,1600000,1.66395914457e+15
1024,2400000,2.18163596551e+15
1024,2700000,2.72398959648e+15
1024,2800000,3.003366523e+15
