64,1,1200000,293624.292
64,1,3001000,440300.71925
64,256,1200000,74810465.1937
64,256,3001000,180097958.832
1024,1,1200000,1268529.39767
1024,1,3001000,1582802.15725
1024,256,1200000,343393439.751
1024,256,3001000,634167243.269
64,1,1600000,385073.10725
64,128,2400000,74232864.3423
64,256,1500000,108718647.43
64,256,2400000,147284634.815
64,256,3000000,182876762.944
256,16,2800000,22401387.0961
256,64,1200000,59570980.9763
256,64,2300000,92727306.3082
256,128,1400000,138050464.905
256,128,1800000,155763600.144
256,128,2500000,199428498.047
256,128,2800000,221360978.403
256,256,1400000,243005641.435
256,256,1600000,287225170.716
256,256,1800000,302708379.253
256,256,2100000,325741657.32
256,256,2300000,352514071.872
256,256,2500000,337603751.287
256,256,2900000,445694772.506
256,256,3001000,523785506.374
1024,8,1200000,9024032.55158
1024,32,1400000,43033686.6819
1024,64,2900000,129044581.939
1024,128,1200000,169118520.132
1024,128,2700000,262792869.993
1024,128,3001000,314774695.782
1024,256,1400000,376035999.078
1024,256,1500000,365462177.961
1024,256,1800000,409155529.517
1024,256,2000000,432029624.36
1024,256,2400000,474119461.419
1024,256,2500000,505403066.749
1024,256,2800000,533204549.549
1024,256,2900000,569860807.258
1024,256,3000000,585431452.766
