Num nodes,Trial number,Quadratic Fill L2,Quadratic Fill Percentile 000,Quadratic Fill Percentile 025,Quadratic Fill Percentile 050,Quadratic Fill Percentile 075,Quadratic Fill Percentile 100,Quadratic Regres L2,Quadratic Regres Percentile 000,Quadratic Regres Percentile 025,Quadratic Regres Percentile 050,Quadratic Regres Percentile 075,Quadratic Regres Percentile 100,Quintic Interp L2,Quintic Interp Percentile 000,Quintic Interp Percentile 025,Quintic Interp Percentile 050,Quintic Interp Percentile 075,Quintic Interp Percentile 100
4,0,0.028167460959956522,0.0923385947687978,0.11610360279782463,0.1653399951159733,0.2413865800383832,0.34556072704304774,0.02953367012787677,0.0923385947687978,0.12199955132756485,0.1650729595328666,0.24807583731678234,0.34556072704304774,0.028146251192469933,0.0923385947687978,0.11636570805625998,0.16534098232518818,0.2411205958844837,0.34556072704304774
4,1,0.12602505825938468,0.027387593197926163,0.4702172485587859,0.6764265173857686,0.8258141760286751,0.8781174363909454,0.11723917888296335,0.027387593197926163,0.4402065393684241,0.6765159853925455,0.7792591271575793,0.8781174363909454,0.11700898878403022,0.027387593197926163,0.47944165337434014,0.6739581316353679,0.7578718014759296,0.8781174363909454
4,2,0.25741395409016965,0.31342417815924284,0.7673565026501118,0.7857962358298958,0.8307222122947651,0.9682615757193975,0.2574922675453277,0.31342417815924284,0.7657278006457617,0.779305617438284,0.847753731720889,0.9682615757193975,0.25058205509503073,0.31342417815924284,0.7592882538987913,0.7997484467190149,0.8034217313573933,0.9682615757193975
4,3,0.06754768311811545,0.0983468338330501,0.21376879250072844,0.27290643606830745,0.30398228772022357,0.8781425034294131,0.06663984833093123,0.0983468338330501,0.20828279323154214,0.26994215126500276,0.2983361935650091,0.8781425034294131,0.055057335939625016,0.0983468338330501,0.17612118095855994,0.22655851403552046,0.268768410188567,0.8781425034294131
4,4,0.2984233089637727,0.018288277344191806,0.5699727551900586,0.7390035554322749,0.7924913308679575,0.8346256718973729,0.2953852503315142,0.018288277344191806,0.6274385578236906,0.7353547674045308,0.7764361731734077,0.8346256718973729,0.2901341424359946,0.018288277344191806,0.5974701502928559,0.7473388377180556,0.7519417182727492,0.8346256718973729
4,5,0.12157400646645847,0.10322600657764203,0.10471245104342349,0.150698339265368,0.5252119221684616,0.9085955030930956,0.11715335847846953,0.10322600657764203,0.1563084323286047,0.1788920712025873,0.5000226503373644,0.9085955030930956,0.1267418723767895,0.10322600657764203,0.10471245104342349,0.150698339265368,0.5281150403727777,0.9085955030930956
4,6,0.06660378999671045,0.053362545117080384,0.2460610165057668,0.28936583728472987,0.3825134116234076,0.4915731592803383,0.07014677632702279,0.053362545117080384,0.24353012344574565,0.303756281048126,0.4007998661719255,0.4915731592803383,0.052858404492954314,0.053362545117080384,0.24697322994089882,0.2662972508186986,0.3001819717387068,0.4915731592803383
4,7,0.06722096833041077,0.10233442882782584,0.19889419354323962,0.32365580926868165,0.4132220769645383,0.6944001577277451,0.06939150035649046,0.10233442882782584,0.16330459578023174,0.33925744604212826,0.41397178029290727,0.6944001577277451,0.08717580749240368,0.10233442882782584,0.34873706459747394,0.40920506081618135,0.4140557058387096,0.6944001577277451
4,8,0.1511953068014419,0.13747470414623753,0.1392392825264859,0.19382975396418023,0.5651310893688177,0.9445947559908133,0.1585117987082074,0.13747470414623753,0.2111324408967254,0.2410546575788283,0.5651525097934667,0.9445947559908133,0.1511953068014419,0.13747470414623753,0.1392392825264859,0.19382975396418023,0.5651310893688177,0.9445947559908133
4,9,0.42613995431111634,0.34776585974550656,0.7432151488520411,0.7591179579315683,0.8690488528101479,0.9275085803960339,0.4287833590415173,0.34776585974550656,0.7421686975247088,0.790162476524555,0.8625661742004306,0.9275085803960339,0.38860729444466796,0.34776585974550656,0.7502146498247443,0.7508507958360762,0.763714804429522,0.9275085803960339
4,10,0.20827612925241162,0.2699278917650261,0.348165722560679,0.4280506146166023,0.8931296083028876,0.9648400471483856,0.20584252728566943,0.2699278917650261,0.33546104602654014,0.415629388498216,0.8938029412325408,0.9648400471483856,0.20435852750729436,0.2699278917650261,0.27423904421657236,0.4076124593076921,0.8931405732504253,0.9648400471483856
4,11,0.1449469153703179,0.2370269802430277,0.31738710127904446,0.4034432055900861,0.4879620631766416,0.5783896143871318,0.1361002622961676,0.2370269802430277,0.301213464540803,0.36351244783100894,0.4914996105245291,0.5783896143871318,0.137406605448038,0.2370269802430277,0.2842287222248425,0.343368692282202,0.5155121721277685,0.5783896143871318
4,12,0.24760563794142168,0.32664490177209615,0.32693803241532526,0.3360065669648975,0.6763516190696666,0.8859420993107745,0.22678214797359386,0.32664490177209615,0.3374650751956397,0.3415467555488153,0.6279322881719095,0.8859420993107745,0.2580650057435903,0.32664490177209615,0.32693803241532526,0.3360065669648975,0.7189514481716969,0.8859420993107745
4,13,0.0518677309550236,0.13713574962887776,0.14688221757309006,0.16876070116696656,0.17846808986319895,0.9973228504514805,0.056034614305112654,0.13713574962887776,0.14688221757309006,0.16876070116696656,0.1751958899174787,0.9973228504514805,0.055200877268047815,0.13713574962887776,0.16699767332354676,0.17220637108299786,0.17313967508108546,0.9973228504514805
4,14,0.29450340390230373,0.1242709619721647,0.34938881446598974,0.5576101909996982,0.7253504616968656,0.9230245355464833,0.2863073550044271,0.1242709619721647,0.32723929321656564,0.533680989979827,0.7262901806970262,0.9230245355464833,0.31314637159186565,0.1242709619721647,0.4162633761899785,0.5861899969471667,0.7248454936104335,0.9230245355464833
