Test Name,N,Trial,Equispaced,MQSI fit,PCHIP fit,MQSI eval,PCHIP eval
large_tangent,8,0,True,0.0001609325408935547,0.0004968643188476562,1.0418891906738282e-06,1.344919204711914e-05
large_tangent,8,0,False,0.0001232624053955078,0.0003352165222167969,7.891654968261719e-07,4.291534423828125e-07
large_tangent,8,1,True,8.392333984375e-05,0.00029206275939941406,6.198883056640625e-07,3.4093856811523436e-07
large_tangent,8,1,False,8.20159912109375e-05,0.00028967857360839844,6.508827209472656e-07,1.2803077697753907e-06
large_tangent,8,2,True,7.987022399902344e-05,0.0002810955047607422,6.175041198730468e-07,3.0994415283203126e-07
large_tangent,8,2,False,8.130073547363281e-05,0.00028204917907714844,6.079673767089843e-07,2.9325485229492187e-07
large_tangent,8,3,True,8.130073547363281e-05,0.0002791881561279297,6.079673767089843e-07,3.0040740966796875e-07
large_tangent,8,3,False,8.082389831542969e-05,0.0002880096435546875,6.103515625e-07,3.1948089599609377e-07
large_tangent,8,4,True,8.177757263183594e-05,0.0002841949462890625,5.984306335449218e-07,3.027915954589844e-07
large_tangent,8,4,False,8.082389831542969e-05,0.00028204917907714844,6.103515625e-07,3.0040740966796875e-07
large_tangent,8,5,True,8.177757263183594e-05,0.0002799034118652344,6.389617919921875e-07,6.318092346191406e-07
large_tangent,8,5,False,7.987022399902344e-05,0.00027871131896972656,6.198883056640625e-07,2.884864807128906e-07
large_tangent,8,6,True,8.0108642578125e-05,0.0002779960632324219,6.079673767089843e-07,3.0040740966796875e-07
large_tangent,8,6,False,0.00015115737915039062,0.0004937648773193359,1.2302398681640625e-06,5.674362182617187e-07
large_tangent,8,7,True,0.00012683868408203125,0.0007150173187255859,1.0228157043457031e-06,5.865097045898437e-07
large_tangent,8,7,False,0.00011324882507324219,0.00038695335388183594,8.702278137207031e-07,4.100799560546875e-07
large_tangent,8,8,True,0.00010013580322265625,0.00035881996154785156,7.796287536621094e-07,3.6716461181640626e-07
large_tangent,8,8,False,0.0001010894775390625,0.0003590583801269531,7.724761962890626e-07,3.719329833984375e-07
large_tangent,8,9,True,9.989738464355469e-05,0.0003762245178222656,7.700920104980469e-07,3.4093856811523436e-07
