,host,media,freq,fsize,rsize,threads,iter,subiter,test,throughput,runtime,L1-dcache-load-misses,L1-dcache-loads,L1-icache-load-misses,LLC-load-misses,LLC-loads,branch-misses,branches,context-switches,cpu-migrations,cycles,dTLB-load-misses,dTLB-loads,iTLB-load-misses,iTLB-loads,instructions,page-faults
854,m04,SSD,1200000,32768,1024,16,7,3,random-readers,11397415.19,20,71249636,838212646,7760538,3984377,12972181,6050267,542318930,20875,2140,5397607429,581773,771302774,77123,125680,2524507158,24865
855,m04,SSD,1200000,32768,1024,16,7,4,random-writers,7821506.45,20,71249636,838212646,7760538,3984377,12972181,6050267,542318930,20875,2140,5397607429,581773,771302774,77123,125680,2524507158,24865
6130,m04,SSD,1200000,32768,1024,16,8,1,initial-writers,7941329.69,20,80990621,821107739,9527171,4542743,15111969,5287375,523451247,20879,2139,6014931608,886130,836843517,95799,273571,2575397672,25646
6131,m04,SSD,1200000,32768,1024,16,8,2,rewriters,8056461.33,20,80990621,821107739,9527171,4542743,15111969,5287375,523451247,20879,2139,6014931608,886130,836843517,95799,273571,2575397672,25646
6132,m04,SSD,1200000,32768,1024,16,8,3,random-readers,14032970.25,20,80990621,821107739,9527171,4542743,15111969,5287375,523451247,20879,2139,6014931608,886130,836843517,95799,273571,2575397672,25646
6133,m04,SSD,1200000,32768,1024,16,8,4,random-writers,7400428.78,20,80990621,821107739,9527171,4542743,15111969,5287375,523451247,20879,2139,6014931608,886130,836843517,95799,273571,2575397672,25646
4780,m04,SSD,1200000,32768,1024,16,9,1,initial-writers,7840500.00,20,72058029,851840021,7387313,5537763,14524035,6039805,567312925,20801,2134,5789865801,353045,744486072,107790,145945,2599901232,25516
4781,m04,SSD,1200000,32768,1024,16,9,2,rewriters,7255218.66,20,72058029,851840021,7387313,5537763,14524035,6039805,567312925,20801,2134,5789865801,353045,744486072,107790,145945,2599901232,25516
4782,m04,SSD,1200000,32768,1024,16,9,3,random-readers,12737107.56,20,72058029,851840021,7387313,5537763,14524035,6039805,567312925,20801,2134,5789865801,353045,744486072,107790,145945,2599901232,25516
4783,m04,SSD,1200000,32768,1024,16,9,4,random-writers,7361591.94,20,72058029,851840021,7387313,5537763,14524035,6039805,567312925,20801,2134,5789865801,353045,744486072,107790,145945,2599901232,25516
1722,m04,SSD,1200000,32768,1024,16,10,1,initial-writers,7916669.88,21,78679453,846678876,7835683,4097680,13804304,6156199,600408295,21786,2549,5452197898,794474,811944433,79286,180622,2928569502,25490
1723,m04,SSD,1200000,32768,1024,16,10,2,rewriters,6877185.31,21,78679453,846678876,7835683,4097680,13804304,6156199,600408295,21786,2549,5452197898,794474,811944433,79286,180622,2928569502,25490
1724,m04,SSD,1200000,32768,1024,16,10,3,random-readers,13854131.56,21,78679453,846678876,7835683,4097680,13804304,6156199,600408295,21786,2549,5452197898,794474,811944433,79286,180622,2928569502,25490
1725,m04,SSD,1200000,32768,1024,16,10,4,random-writers,8920839.75,21,78679453,846678876,7835683,4097680,13804304,6156199,600408295,21786,2549,5452197898,794474,811944433,79286,180622,2928569502,25490
7990,m04,SSD,1200000,32768,1024,16,11,1,initial-writers,7843137.25,20,70795782,842052802,8187808,3688594,12522232,5694594,552354914,20960,2080,5227155914,755203,759746225,95000,222598,2602124628,25255
7991,m04,SSD,1200000,32768,1024,16,11,2,rewriters,7120849.38,20,70795782,842052802,8187808,3688594,12522232,5694594,552354914,20960,2080,5227155914,755203,759746225,95000,222598,2602124628,25255
7992,m04,SSD,1200000,32768,1024,16,11,3,random-readers,12817628.30,20,70795782,842052802,8187808,3688594,12522232,5694594,552354914,20960,2080,5227155914,755203,759746225,95000,222598,2602124628,25255
7993,m04,SSD,1200000,32768,1024,16,11,4,random-writers,8471645.50,20,70795782,842052802,8187808,3688594,12522232,5694594,552354914,20960,2080,5227155914,755203,759746225,95000,222598,2602124628,25255
452,m04,SSD,1200000,32768,1024,16,12,1,initial-writers,7904631.59,20,75794117,856565943,7430526,4269164,13394065,6100033,569976739,20947,2342,5352420659,643126,744929427,107686,133658,2670500433,25654
453,m04,SSD,1200000,32768,1024,16,12,2,rewriters,8566613.50,20,75794117,856565943,7430526,4269164,13394065,6100033,569976739,20947,2342,5352420659,643126,744929427,107686,133658,2670500433,25654
454,m04,SSD,1200000,32768,1024,16,12,3,random-readers,13454557.16,20,75794117,856565943,7430526,4269164,13394065,6100033,569976739,20947,2342,5352420659,643126,744929427,107686,133658,2670500433,25654
455,m04,SSD,1200000,32768,1024,16,12,4,random-writers,8449649.95,20,75794117,856565943,7430526,4269164,13394065,6100033,569976739,20947,2342,5352420659,643126,744929427,107686,133658,2670500433,25654
7088,m04,SSD,1200000,32768,1024,16,13,1,initial-writers,7784458.31,20,71406445,815490437,6726478,4695914,13446148,6585721,588507693,20932,2060,5028558600,651866,693479999,76885,150380,2780152931,25472
7089,m04,SSD,1200000,32768,1024,16,13,2,rewriters,7438094.58,20,71406445,815490437,6726478,4695914,13446148,6585721,588507693,20932,2060,5028558600,651866,693479999,76885,150380,2780152931,25472
7090,m04,SSD,1200000,32768,1024,16,13,3,random-readers,12977353.11,20,71406445,815490437,6726478,4695914,13446148,6585721,588507693,20932,2060,5028558600,651866,693479999,76885,150380,2780152931,25472
7091,m04,SSD,1200000,32768,1024,16,13,4,random-writers,8796484.20,20,71406445,815490437,6726478,4695914,13446148,6585721,588507693,20932,2060,5028558600,651866,693479999,76885,150380,2780152931,25472
1312,m04,SSD,1200000,32768,1024,16,14,1,initial-writers,7682156.69,20,76978543,838054350,7973457,4730529,14189349,6091638,571402519,21082,2159,5269599931,678362,746373021,73025,161739,2732447998,25553
1313,m04,SSD,1200000,32768,1024,16,14,2,rewriters,8756736.42,20,76978543,838054350,7973457,4730529,14189349,6091638,571402519,21082,2159,5269599931,678362,746373021,73025,161739,2732447998,25553
1314,m04,SSD,1200000,32768,1024,16,14,3,random-readers,13646325.94,20,76978543,838054350,7973457,4730529,14189349,6091638,571402519,21082,2159,5269599931,678362,746373021,73025,161739,2732447998,25553
1315,m04,SSD,1200000,32768,1024,16,14,4,random-writers,8602408.89,20,76978543,838054350,7973457,4730529,14189349,6091638,571402519,21082,2159,5269599931,678362,746373021,73025,161739,2732447998,25553
5010,m04,SSD,1200000,32768,1024,16,15,1,initial-writers,8225067.88,20,72859525,841267564,7076613,5233722,14843168,6307328,585647296,21850,3635,5222081513,539475,749891115,58566,118814,2797316671,25382
5011,m04,SSD,1200000,32768,1024,16,15,2,rewriters,8185468.42,20,72859525,841267564,7076613,5233722,14843168,6307328,585647296,21850,3635,5222081513,539475,749891115,58566,118814,2797316671,25382
5012,m04,SSD,1200000,32768,1024,16,15,3,random-readers,13070574.97,20,72859525,841267564,7076613,5233722,14843168,6307328,585647296,21850,3635,5222081513,539475,749891115,58566,118814,2797316671,25382
5013,m04,SSD,1200000,32768,1024,16,15,4,random-writers,8016322.62,20,72859525,841267564,7076613,5233722,14843168,6307328,585647296,21850,3635,5222081513,539475,749891115,58566,118814,2797316671,25382
7044,m04,SSD,1200000,32768,1024,16,16,1,initial-writers,8072493.47,20,70105764,858265486,7042035,4179773,12455863,6081856,583227854,21089,2767,5103809195,481772,726799882,60081,61162,2731233799,25482
7045,m04,SSD,1200000,32768,1024,16,16,2,rewriters,7935053.45,20,70105764,858265486,7042035,4179773,12455863,6081856,583227854,21089,2767,5103809195,481772,726799882,60081,61162,2731233799,25482
7046,m04,SSD,1200000,32768,1024,16,16,3,random-readers,12382999.33,20,70105764,858265486,7042035,4179773,12455863,6081856,583227854,21089,2767,5103809195,481772,726799882,60081,61162,2731233799,25482
7047,m04,SSD,1200000,32768,1024,16,16,4,random-writers,9226750.28,20,70105764,858265486,7042035,4179773,12455863,6081856,583227854,21089,2767,5103809195,481772,726799882,60081,61162,2731233799,25482
662,m04,SSD,1200000,32768,1024,16,17,1,initial-writers,7593501.47,20,75060073,799430588,8272891,3819137,12494295,5541557,537736357,21353,3642,4798765238,806156,756717460,79521,205667,2624771082,25325
663,m04,SSD,1200000,32768,1024,16,17,2,rewriters,6843896.94,20,75060073,799430588,8272891,3819137,12494295,5541557,537736357,21353,3642,4798765238,806156,756717460,79521,205667,2624771082,25325
664,m04,SSD,1200000,32768,1024,16,17,3,random-readers,10655864.16,20,75060073,799430588,8272891,3819137,12494295,5541557,537736357,21353,3642,4798765238,806156,756717460,79521,205667,2624771082,25325
665,m04,SSD,1200000,32768,1024,16,17,4,random-writers,9283059.86,20,75060073,799430588,8272891,3819137,12494295,5541557,537736357,21353,3642,4798765238,806156,756717460,79521,205667,2624771082,25325
7236,m04,SSD,1200000,32768,1024,16,18,1,initial-writers,7497102.00,21,86208367,794708658,7771986,5508306,15604223,6222599,584481993,21106,2261,6175392928,697929,883013074,72910,145341,2923700683,25344
7237,m04,SSD,1200000,32768,1024,16,18,2,rewriters,7027242.44,21,86208367,794708658,7771986,5508306,15604223,6222599,584481993,21106,2261,6175392928,697929,883013074,72910,145341,2923700683,25344
7238,m04,SSD,1200000,32768,1024,16,18,3,random-readers,11054984.50,21,86208367,794708658,7771986,5508306,15604223,6222599,584481993,21106,2261,6175392928,697929,883013074,72910,145341,2923700683,25344
7239,m04,SSD,1200000,32768,1024,16,18,4,random-writers,8981630.88,21,86208367,794708658,7771986,5508306,15604223,6222599,584481993,21106,2261,6175392928,697929,883013074,72910,145341,2923700683,25344
3020,m04,SSD,1200000,32768,1024,16,19,1,initial-writers,7667893.97,20,67451800,804735178,8403613,3893579,12623061,5678908,532007068,21300,2770,5277227428,778840,794516788,94844,214451,2569350762,25487
3021,m04,SSD,1200000,32768,1024,16,19,2,rewriters,8608464.08,20,67451800,804735178,8403613,3893579,12623061,5678908,532007068,21300,2770,5277227428,778840,794516788,94844,214451,2569350762,25487
3022,m04,SSD,1200000,32768,1024,16,19,3,random-readers,11889206.97,20,67451800,804735178,8403613,3893579,12623061,5678908,532007068,21300,2770,5277227428,778840,794516788,94844,214451,2569350762,25487
3023,m04,SSD,1200000,32768,1024,16,19,4,random-writers,7217201.12,20,67451800,804735178,8403613,3893579,12623061,5678908,532007068,21300,2770,5277227428,778840,794516788,94844,214451,2569350762,25487
2110,m04,SSD,1200000,32768,1024,16,20,1,initial-writers,7322222.47,20,68695616,841051019,8597918,3679964,12833587,5624071,564358097,20833,2045,5254854670,862743,738448180,79905,238288,2640965619,25492
2111,m04,SSD,1200000,32768,1024,16,20,2,rewriters,7665085.92,20,68695616,841051019,8597918,3679964,12833587,5624071,564358097,20833,2045,5254854670,862743,738448180,79905,238288,2640965619,25492
