,host,media,freq,fsize,rsize,threads,iter,subiter,test,throughput,runtime
7238,m03,SSD,1200000,32768,1024,16,18,3,random-readers,11142827.05,20
7239,m03,SSD,1200000,32768,1024,16,18,4,random-writers,5562131.45,20
3020,m03,SSD,1200000,32768,1024,16,19,1,initial-writers,2753324.59,21
3021,m03,SSD,1200000,32768,1024,16,19,2,rewriters,5208848.72,21
3022,m03,SSD,1200000,32768,1024,16,19,3,random-readers,11983400.91,21
3023,m03,SSD,1200000,32768,1024,16,19,4,random-writers,5598907.36,21
2110,m03,SSD,1200000,32768,1024,16,20,1,initial-writers,2717088.49,21
2111,m03,SSD,1200000,32768,1024,16,20,2,rewriters,4941444.62,21
2112,m03,SSD,1200000,32768,1024,16,20,3,random-readers,13826958.52,21
2113,m03,SSD,1200000,32768,1024,16,20,4,random-writers,5428562.66,21
4512,m03,SSD,1200000,32768,1024,16,21,1,initial-writers,2809200.16,21
4513,m03,SSD,1200000,32768,1024,16,21,2,rewriters,5147534.59,21
4514,m03,SSD,1200000,32768,1024,16,21,3,random-readers,11271690.12,21
4515,m03,SSD,1200000,32768,1024,16,21,4,random-writers,5440917.97,21
4074,m03,SSD,1200000,32768,1024,16,22,1,initial-writers,2760503.52,21
4075,m03,SSD,1200000,32768,1024,16,22,2,rewriters,5188905.03,21
4076,m03,SSD,1200000,32768,1024,16,22,3,random-readers,11621319.22,21
4077,m03,SSD,1200000,32768,1024,16,22,4,random-writers,5334781.52,21
1408,m03,SSD,1200000,32768,1024,16,23,1,initial-writers,2761591.30,21
1409,m03,SSD,1200000,32768,1024,16,23,2,rewriters,5318533.44,21
1410,m03,SSD,1200000,32768,1024,16,23,3,random-readers,11413178.97,21
1411,m03,SSD,1200000,32768,1024,16,23,4,random-writers,5755908.91,21
7308,m03,SSD,1200000,32768,1024,16,24,1,initial-writers,2692767.18,20
7309,m03,SSD,1200000,32768,1024,16,24,2,rewriters,5188611.70,20
7310,m03,SSD,1200000,32768,1024,16,24,3,random-readers,12382180.02,20
