data,host,media,freq,fsize,rsize,threads,test,iter,throughput,runtime
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,initial-writers,71,4319431.55,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,initial-writers,72,4158621.03,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,initial-writers,73,4914623.72,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,initial-writers,74,4725250.91,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,initial-writers,75,4780675.81,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,initial-writers,76,4209830.61,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,initial-writers,77,4552058.36,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,initial-writers,78,3930097.2,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,initial-writers,79,4797699.03,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,initial-writers,80,3722551.58,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,initial-writers,81,4857985.62,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,initial-writers,82,4298375.91,20
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,initial-writers,83,4264846.73,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,initial-writers,84,4754268.03,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,initial-writers,85,4835859.22,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,initial-writers,86,4290491.86,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,initial-writers,87,4200819.88,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,initial-writers,88,4232182.05,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,initial-writers,89,4748568.84,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,initial-writers,90,4248608.7,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,initial-writers,91,4305891.7,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,initial-writers,92,4181705.75,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,initial-writers,93,3720729.64,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,initial-writers,94,4307536.42,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,initial-writers,95,4282990.03,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,initial-writers,96,3917211.22,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,initial-writers,97,3807810.52,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,initial-writers,98,4217509.05,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,initial-writers,99,4293874.02,21
old-cpu-scaling,m03,SSD,1200000,32768,1024,16,initial-writers,100,4326420.88,21
