,host,media,freq,fsize,rsize,threads,iter,subiter,test,throughput,runtime
15938,m03,SSD,1200000,32768,1024,16,18,3,random-readers,12196678.50,21
15939,m03,SSD,1200000,32768,1024,16,18,4,random-writers,5811921.53,21
11720,m03,SSD,1200000,32768,1024,16,19,1,initial-writers,4623113.20,21
11721,m03,SSD,1200000,32768,1024,16,19,2,rewriters,5867386.09,21
11722,m03,SSD,1200000,32768,1024,16,19,3,random-readers,15667563.01,21
11723,m03,SSD,1200000,32768,1024,16,19,4,random-writers,5654004.22,21
10810,m03,SSD,1200000,32768,1024,16,20,1,initial-writers,4614828.23,21
10811,m03,SSD,1200000,32768,1024,16,20,2,rewriters,5437575.20,21
10812,m03,SSD,1200000,32768,1024,16,20,3,random-readers,11027946.38,21
10813,m03,SSD,1200000,32768,1024,16,20,4,random-writers,5618842.09,21
13212,m03,SSD,1200000,32768,1024,16,21,1,initial-writers,4551332.75,21
13213,m03,SSD,1200000,32768,1024,16,21,2,rewriters,5724748.16,21
13214,m03,SSD,1200000,32768,1024,16,21,3,random-readers,12360131.16,21
13215,m03,SSD,1200000,32768,1024,16,21,4,random-writers,6175936.28,21
12774,m03,SSD,1200000,32768,1024,16,22,1,initial-writers,4606012.61,21
12775,m03,SSD,1200000,32768,1024,16,22,2,rewriters,5715807.31,21
12776,m03,SSD,1200000,32768,1024,16,22,3,random-readers,13566716.50,21
12777,m03,SSD,1200000,32768,1024,16,22,4,random-writers,5159541.41,21
10108,m03,SSD,1200000,32768,1024,16,23,1,initial-writers,4558115.53,21
10109,m03,SSD,1200000,32768,1024,16,23,2,rewriters,5663694.72,21
10110,m03,SSD,1200000,32768,1024,16,23,3,random-readers,12246318.53,21
10111,m03,SSD,1200000,32768,1024,16,23,4,random-writers,5634275.84,21
16008,m03,SSD,1200000,32768,1024,16,24,1,initial-writers,4595534.34,20
16009,m03,SSD,1200000,32768,1024,16,24,2,rewriters,4870208.34,20
16010,m03,SSD,1200000,32768,1024,16,24,3,random-readers,11794917.75,20
16011,m03,SSD,1200000,32768,1024,16,24,4,random-writers,5936626.56,20
11982,m03,SSD,1200000,32768,1024,16,25,1,initial-writers,4498241.67,21
11983,m03,SSD,1200000,32768,1024,16,25,2,rewriters,5645312.39,21
11984,m03,SSD,1200000,32768,1024,16,25,3,random-readers,14259021.80,21
11985,m03,SSD,1200000,32768,1024,16,25,4,random-writers,5850435.45,21
9762,m03,SSD,1200000,32768,1024,16,26,1,initial-writers,4522012.67,21
9763,m03,SSD,1200000,32768,1024,16,26,2,rewriters,5973359.53,21
9764,m03,SSD,1200000,32768,1024,16,26,3,random-readers,13831252.25,21
9765,m03,SSD,1200000,32768,1024,16,26,4,random-writers,5557894.92,21
13600,m03,SSD,1200000,32768,1024,16,27,1,initial-writers,4612542.67,21
13601,m03,SSD,1200000,32768,1024,16,27,2,rewriters,5494327.05,21
13602,m03,SSD,1200000,32768,1024,16,27,3,random-readers,14236351.59,21
13603,m03,SSD,1200000,32768,1024,16,27,4,random-writers,5797437.91,21
12332,m03,SSD,1200000,32768,1024,16,28,1,initial-writers,4555928.08,21
12333,m03,SSD,1200000,32768,1024,16,28,2,rewriters,5569444.69,21
12334,m03,SSD,1200000,32768,1024,16,28,3,random-readers,11422737.75,21
12335,m03,SSD,1200000,32768,1024,16,28,4,random-writers,6039658.33,21
13644,m03,SSD,1200000,32768,1024,16,29,1,initial-writers,4548015.80,20
13645,m03,SSD,1200000,32768,1024,16,29,2,rewriters,5034874.78,20
13646,m03,SSD,1200000,32768,1024,16,29,3,random-readers,10692965.81,20
13647,m03,SSD,1200000,32768,1024,16,29,4,random-writers,5625446.47,20
14034,m03,SSD,1200000,32768,1024,16,30,1,initial-writers,4553226.50,20
14035,m03,SSD,1200000,32768,1024,16,30,2,rewriters,5292016.23,20
14036,m03,SSD,1200000,32768,1024,16,30,3,random-readers,13112719.63,20
14037,m03,SSD,1200000,32768,1024,16,30,4,random-writers,5800366.88,20
10236,m03,SSD,1200000,32768,1024,16,31,1,initial-writers,4521460.28,20
10237,m03,SSD,1200000,32768,1024,16,31,2,rewriters,5440352.69,20
10238,m03,SSD,1200000,32768,1024,16,31,3,random-readers,11786826.00,20
10239,m03,SSD,1200000,32768,1024,16,31,4,random-writers,5653383.03,20
17028,m03,SSD,1200000,32768,1024,16,32,1,initial-writers,4554006.11,20
17029,m03,SSD,1200000,32768,1024,16,32,2,rewriters,5028350.91,20
17030,m03,SSD,1200000,32768,1024,16,32,3,random-readers,11357510.56,20
17031,m03,SSD,1200000,32768,1024,16,32,4,random-writers,5743933.81,20
16350,m03,SSD,1200000,32768,1024,16,33,1,initial-writers,4468903.55,20
16351,m03,SSD,1200000,32768,1024,16,33,2,rewriters,5576890.77,20
16352,m03,SSD,1200000,32768,1024,16,33,3,random-readers,11089944.91,20
16353,m03,SSD,1200000,32768,1024,16,33,4,random-writers,5803785.25,20
10064,m03,SSD,1200000,32768,1024,16,34,1,initial-writers,4584738.61,20
10065,m03,SSD,1200000,32768,1024,16,34,2,rewriters,5285806.95,20
10066,m03,SSD,1200000,32768,1024,16,34,3,random-readers,10961477.88,20
10067,m03,SSD,1200000,32768,1024,16,34,4,random-writers,5828789.25,20
9160,m03,SSD,1200000,32768,1024,16,35,1,initial-writers,4625524.08,21
9161,m03,SSD,1200000,32768,1024,16,35,2,rewriters,5690474.66,21
9162,m03,SSD,1200000,32768,1024,16,35,3,random-readers,10244629.92,21
9163,m03,SSD,1200000,32768,1024,16,35,4,random-writers,6076786.69,21
8858,m03,SSD,1200000,32768,1024,16,36,1,initial-writers,4636189.03,20
8859,m03,SSD,1200000,32768,1024,16,36,2,rewriters,5827448.55,20
8860,m03,SSD,1200000,32768,1024,16,36,3,random-readers,15966338.81,20
8861,m03,SSD,1200000,32768,1024,16,36,4,random-writers,5969096.70,20
15474,m03,SSD,1200000,32768,1024,16,37,1,initial-writers,4602220.31,20
15475,m03,SSD,1200000,32768,1024,16,37,2,rewriters,5321053.95,20
15476,m03,SSD,1200000,32768,1024,16,37,3,random-readers,12668096.94,20
15477,m03,SSD,1200000,32768,1024,16,37,4,random-writers,5635668.59,20
9182,m03,SSD,1200000,32768,1024,16,38,1,initial-writers,4584547.03,21
9183,m03,SSD,1200000,32768,1024,16,38,2,rewriters,5586453.41,21
9184,m03,SSD,1200000,32768,1024,16,38,3,random-readers,11978869.81,21
9185,m03,SSD,1200000,32768,1024,16,38,4,random-writers,5847558.47,21
9188,m03,SSD,1200000,32768,1024,16,39,1,initial-writers,4543509.94,21
9189,m03,SSD,1200000,32768,1024,16,39,2,rewriters,5476469.77,21
9190,m03,SSD,1200000,32768,1024,16,39,3,random-readers,13211730.62,21
9191,m03,SSD,1200000,32768,1024,16,39,4,random-writers,6364238.81,21
10862,m03,SSD,1200000,32768,1024,16,40,1,initial-writers,4518788.03,20
10863,m03,SSD,1200000,32768,1024,16,40,2,rewriters,5518229.08,20
10864,m03,SSD,1200000,32768,1024,16,40,3,random-readers,13536843.25,20
10865,m03,SSD,1200000,32768,1024,16,40,4,random-writers,5661863.47,20
15918,m03,SSD,1200000,32768,1024,16,41,1,initial-writers,4522094.86,21
15919,m03,SSD,1200000,32768,1024,16,41,2,rewriters,5162284.84,21
15920,m03,SSD,1200000,32768,1024,16,41,3,random-readers,11662414.78,21
15921,m03,SSD,1200000,32768,1024,16,41,4,random-writers,5804595.20,21
9866,m03,SSD,1200000,32768,1024,16,42,1,initial-writers,4567701.06,20
9867,m03,SSD,1200000,32768,1024,16,42,2,rewriters,5512744.69,20
9868,m03,SSD,1200000,32768,1024,16,42,3,random-readers,14047804.81,20
9869,m03,SSD,1200000,32768,1024,16,42,4,random-writers,5569882.86,20
14608,m03,SSD,1200000,32768,1024,16,43,1,initial-writers,4536054.02,20
14609,m03,SSD,1200000,32768,1024,16,43,2,rewriters,5411199.59,20
14610,m03,SSD,1200000,32768,1024,16,43,3,random-readers,13663291.94,20
14611,m03,SSD,1200000,32768,1024,16,43,4,random-writers,5875785.45,20
15804,m03,SSD,1200000,32768,1024,16,44,1,initial-writers,4615877.47,21
15805,m03,SSD,1200000,32768,1024,16,44,2,rewriters,5647639.72,21
15806,m03,SSD,1200000,32768,1024,16,44,3,random-readers,11517361.50,21
15807,m03,SSD,1200000,32768,1024,16,44,4,random-writers,5782559.55,21
11034,m03,SSD,1200000,32768,1024,16,45,1,initial-writers,4565527.06,21
11035,m03,SSD,1200000,32768,1024,16,45,2,rewriters,5260056.08,21
11036,m03,SSD,1200000,32768,1024,16,45,3,random-readers,11573751.78,21
11037,m03,SSD,1200000,32768,1024,16,45,4,random-writers,5966199.72,21
10524,m03,SSD,1200000,32768,1024,16,46,1,initial-writers,4604882.78,20
10525,m03,SSD,1200000,32768,1024,16,46,2,rewriters,5459618.81,20
10526,m03,SSD,1200000,32768,1024,16,46,3,random-readers,13767415.88,20
10527,m03,SSD,1200000,32768,1024,16,46,4,random-writers,5408447.69,20
11940,m03,SSD,1200000,32768,1024,16,47,1,initial-writers,4573051.17,21
11941,m03,SSD,1200000,32768,1024,16,47,2,rewriters,5629663.19,21
11942,m03,SSD,1200000,32768,1024,16,47,3,random-readers,10655253.00,21
11943,m03,SSD,1200000,32768,1024,16,47,4,random-writers,5744658.14,21
12286,m03,SSD,1200000,32768,1024,16,48,1,initial-writers,4627474.03,20
12287,m03,SSD,1200000,32768,1024,16,48,2,rewriters,5701913.05,20
12288,m03,SSD,1200000,32768,1024,16,48,3,random-readers,12372789.84,20
12289,m03,SSD,1200000,32768,1024,16,48,4,random-writers,5374781.41,20
10826,m03,SSD,1200000,32768,1024,16,49,1,initial-writers,4557415.30,21
10827,m03,SSD,1200000,32768,1024,16,49,2,rewriters,5506111.84,21
10828,m03,SSD,1200000,32768,1024,16,49,3,random-readers,12864670.16,21
10829,m03,SSD,1200000,32768,1024,16,49,4,random-writers,5645712.16,21
9852,m03,SSD,1200000,32768,1024,16,50,1,initial-writers,4614094.19,20
9853,m03,SSD,1200000,32768,1024,16,50,2,rewriters,5496986.41,20
9854,m03,SSD,1200000,32768,1024,16,50,3,random-readers,13353217.66,20
9855,m03,SSD,1200000,32768,1024,16,50,4,random-writers,5767013.39,20
12198,m03,SSD,1200000,32768,1024,16,51,1,initial-writers,4620627.22,20
12199,m03,SSD,1200000,32768,1024,16,51,2,rewriters,5179526.20,20
12200,m03,SSD,1200000,32768,1024,16,51,3,random-readers,13495178.38,20
12201,m03,SSD,1200000,32768,1024,16,51,4,random-writers,5477251.92,20
9824,m03,SSD,1200000,32768,1024,16,52,1,initial-writers,4574077.81,21
9825,m03,SSD,1200000,32768,1024,16,52,2,rewriters,5339413.69,21
9826,m03,SSD,1200000,32768,1024,16,52,3,random-readers,12644464.81,21
9827,m03,SSD,1200000,32768,1024,16,52,4,random-writers,6212242.06,21
11670,m03,SSD,1200000,32768,1024,16,53,1,initial-writers,4564147.27,20
11671,m03,SSD,1200000,32768,1024,16,53,2,rewriters,5607648.34,20
11672,m03,SSD,1200000,32768,1024,16,53,3,random-readers,12904230.12,20
11673,m03,SSD,1200000,32768,1024,16,53,4,random-writers,5792562.78,20
14258,m03,SSD,1200000,32768,1024,16,54,1,initial-writers,4601557.91,21
14259,m03,SSD,1200000,32768,1024,16,54,2,rewriters,5492453.16,21
14260,m03,SSD,1200000,32768,1024,16,54,3,random-readers,10594840.50,21
14261,m03,SSD,1200000,32768,1024,16,54,4,random-writers,5934274.45,21
17074,m03,SSD,1200000,32768,1024,16,55,1,initial-writers,4570624.98,21
17075,m03,SSD,1200000,32768,1024,16,55,2,rewriters,5654548.06,21
17076,m03,SSD,1200000,32768,1024,16,55,3,random-readers,11369574.31,21
17077,m03,SSD,1200000,32768,1024,16,55,4,random-writers,5792061.42,21
9882,m03,SSD,1200000,32768,1024,16,56,1,initial-writers,4577163.61,21
9883,m03,SSD,1200000,32768,1024,16,56,2,rewriters,5235955.34,21
9884,m03,SSD,1200000,32768,1024,16,56,3,random-readers,13608700.25,21
9885,m03,SSD,1200000,32768,1024,16,56,4,random-writers,5443239.92,21
16094,m03,SSD,1200000,32768,1024,16,57,1,initial-writers,4580112.86,21
16095,m03,SSD,1200000,32768,1024,16,57,2,rewriters,5596155.30,21
16096,m03,SSD,1200000,32768,1024,16,57,3,random-readers,11561922.00,21
16097,m03,SSD,1200000,32768,1024,16,57,4,random-writers,6002551.62,21
13468,m03,SSD,1200000,32768,1024,16,58,1,initial-writers,4529742.67,22
13469,m03,SSD,1200000,32768,1024,16,58,2,rewriters,5249388.78,22
13470,m03,SSD,1200000,32768,1024,16,58,3,random-readers,14034082.16,22
13471,m03,SSD,1200000,32768,1024,16,58,4,random-writers,6028714.97,22
13630,m03,SSD,1200000,32768,1024,16,59,1,initial-writers,4644939.38,22
13631,m03,SSD,1200000,32768,1024,16,59,2,rewriters,5546484.91,22
13632,m03,SSD,1200000,32768,1024,16,59,3,random-readers,11373165.75,22
13633,m03,SSD,1200000,32768,1024,16,59,4,random-writers,5750945.69,22
11274,m03,SSD,1200000,32768,1024,16,60,1,initial-writers,4605076.31,21
11275,m03,SSD,1200000,32768,1024,16,60,2,rewriters,5451251.61,21
11276,m03,SSD,1200000,32768,1024,16,60,3,random-readers,12707718.16,21
11277,m03,SSD,1200000,32768,1024,16,60,4,random-writers,5722973.94,21
11186,m03,SSD,1200000,32768,1024,16,61,1,initial-writers,4597444.47,21
11187,m03,SSD,1200000,32768,1024,16,61,2,rewriters,5709733.12,21
11188,m03,SSD,1200000,32768,1024,16,61,3,random-readers,11222573.53,21
11189,m03,SSD,1200000,32768,1024,16,61,4,random-writers,5979660.34,21
15310,m03,SSD,1200000,32768,1024,16,62,1,initial-writers,4532977.44,21
15311,m03,SSD,1200000,32768,1024,16,62,2,rewriters,5418483.34,21
15312,m03,SSD,1200000,32768,1024,16,62,3,random-readers,12197402.69,21
15313,m03,SSD,1200000,32768,1024,16,62,4,random-writers,6024007.48,21
11380,m03,SSD,1200000,32768,1024,16,63,1,initial-writers,4580645.67,20
11381,m03,SSD,1200000,32768,1024,16,63,2,rewriters,5621052.83,20
11382,m03,SSD,1200000,32768,1024,16,63,3,random-readers,15093484.00,20
11383,m03,SSD,1200000,32768,1024,16,63,4,random-writers,5946633.36,20
