,host,media,freq,fsize,rsize,threads,iter,subiter,test,throughput,runtime,L1-dcache-load-misses,L1-dcache-loads,L1-icache-load-misses,LLC-load-misses,LLC-loads,branch-misses,branches,context-switches,cpu-migrations,cycles,dTLB-load-misses,dTLB-loads,iTLB-load-misses,iTLB-loads,instructions,page-faults
854,m04,SSD,1200000,32768,1024,16,7,3,random-readers,11832639.31,21,95588590,954288778,9984746,5708485,17996058,6183558,654216261,20652,2246,8622469203,757013,848028641,90394,208801,3037169801,25434
855,m04,SSD,1200000,32768,1024,16,7,4,random-writers,5895072.89,21,95588590,954288778,9984746,5708485,17996058,6183558,654216261,20652,2246,8622469203,757013,848028641,90394,208801,3037169801,25434
6130,m04,SSD,1200000,32768,1024,16,8,1,initial-writers,4246157.62,21,106741922,879536326,9525447,6805122,22043644,5968405,638677604,22511,4060,8538518317,987030,943566102,113466,323270,3213167293,25653
6131,m04,SSD,1200000,32768,1024,16,8,2,rewriters,5467266.22,21,106741922,879536326,9525447,6805122,22043644,5968405,638677604,22511,4060,8538518317,987030,943566102,113466,323270,3213167293,25653
6132,m04,SSD,1200000,32768,1024,16,8,3,random-readers,12253070.09,21,106741922,879536326,9525447,6805122,22043644,5968405,638677604,22511,4060,8538518317,987030,943566102,113466,323270,3213167293,25653
6133,m04,SSD,1200000,32768,1024,16,8,4,random-writers,5610851.62,21,106741922,879536326,9525447,6805122,22043644,5968405,638677604,22511,4060,8538518317,987030,943566102,113466,323270,3213167293,25653
4780,m04,SSD,1200000,32768,1024,16,9,1,initial-writers,4107144.03,21,90771009,895481665,9409148,5164944,17427699,6034054,638905088,22252,4808,7616223480,800676,869494568,95156,230351,3187752545,25433
4781,m04,SSD,1200000,32768,1024,16,9,2,rewriters,5849764.47,21,90771009,895481665,9409148,5164944,17427699,6034054,638905088,22252,4808,7616223480,800676,869494568,95156,230351,3187752545,25433
4782,m04,SSD,1200000,32768,1024,16,9,3,random-readers,12233529.50,21,90771009,895481665,9409148,5164944,17427699,6034054,638905088,22252,4808,7616223480,800676,869494568,95156,230351,3187752545,25433
4783,m04,SSD,1200000,32768,1024,16,9,4,random-writers,5816531.83,21,90771009,895481665,9409148,5164944,17427699,6034054,638905088,22252,4808,7616223480,800676,869494568,95156,230351,3187752545,25433
1722,m04,SSD,1200000,32768,1024,16,10,1,initial-writers,4189668.11,21,95716854,879843153,10173038,5239260,18331179,5948838,625221897,22581,4213,7953042019,882833,886626856,122307,303441,3073931138,25589
1723,m04,SSD,1200000,32768,1024,16,10,2,rewriters,5737843.50,21,95716854,879843153,10173038,5239260,18331179,5948838,625221897,22581,4213,7953042019,882833,886626856,122307,303441,3073931138,25589
1724,m04,SSD,1200000,32768,1024,16,10,3,random-readers,11606893.06,21,95716854,879843153,10173038,5239260,18331179,5948838,625221897,22581,4213,7953042019,882833,886626856,122307,303441,3073931138,25589
1725,m04,SSD,1200000,32768,1024,16,10,4,random-writers,5869348.95,21,95716854,879843153,10173038,5239260,18331179,5948838,625221897,22581,4213,7953042019,882833,886626856,122307,303441,3073931138,25589
7990,m04,SSD,1200000,32768,1024,16,11,1,initial-writers,4099389.14,21,104458357,898911020,9254045,6776160,21552847,6523040,633180045,21902,3918,8544601266,785019,939838709,118401,185874,3115414834,25684
7991,m04,SSD,1200000,32768,1024,16,11,2,rewriters,5713024.22,21,104458357,898911020,9254045,6776160,21552847,6523040,633180045,21902,3918,8544601266,785019,939838709,118401,185874,3115414834,25684
7992,m04,SSD,1200000,32768,1024,16,11,3,random-readers,10352749.56,21,104458357,898911020,9254045,6776160,21552847,6523040,633180045,21902,3918,8544601266,785019,939838709,118401,185874,3115414834,25684
7993,m04,SSD,1200000,32768,1024,16,11,4,random-writers,5910080.94,21,104458357,898911020,9254045,6776160,21552847,6523040,633180045,21902,3918,8544601266,785019,939838709,118401,185874,3115414834,25684
452,m04,SSD,1200000,32768,1024,16,12,1,initial-writers,3881496.08,21,98916651,863573127,9981670,5646249,17637744,6033323,610980171,20973,2467,8305209802,851678,916173844,87627,209406,3068682069,25542
453,m04,SSD,1200000,32768,1024,16,12,2,rewriters,5666335.80,21,98916651,863573127,9981670,5646249,17637744,6033323,610980171,20973,2467,8305209802,851678,916173844,87627,209406,3068682069,25542
454,m04,SSD,1200000,32768,1024,16,12,3,random-readers,11927108.41,21,98916651,863573127,9981670,5646249,17637744,6033323,610980171,20973,2467,8305209802,851678,916173844,87627,209406,3068682069,25542
455,m04,SSD,1200000,32768,1024,16,12,4,random-writers,6185185.47,21,98916651,863573127,9981670,5646249,17637744,6033323,610980171,20973,2467,8305209802,851678,916173844,87627,209406,3068682069,25542
7088,m04,SSD,1200000,32768,1024,16,13,1,initial-writers,3892709.56,21,95511479,883655458,9441849,5433219,17926950,6092530,618672531,21870,4208,8072391279,823963,913503744,114058,241774,3107116179,25519
7089,m04,SSD,1200000,32768,1024,16,13,2,rewriters,5974197.39,21,95511479,883655458,9441849,5433219,17926950,6092530,618672531,21870,4208,8072391279,823963,913503744,114058,241774,3107116179,25519
7090,m04,SSD,1200000,32768,1024,16,13,3,random-readers,11539901.70,21,95511479,883655458,9441849,5433219,17926950,6092530,618672531,21870,4208,8072391279,823963,913503744,114058,241774,3107116179,25519
7091,m04,SSD,1200000,32768,1024,16,13,4,random-writers,5765885.06,21,95511479,883655458,9441849,5433219,17926950,6092530,618672531,21870,4208,8072391279,823963,913503744,114058,241774,3107116179,25519
1312,m04,SSD,1200000,32768,1024,16,14,1,initial-writers,4140071.77,21,92993989,897411623,9180037,5508279,17595006,5936306,617651717,21106,2481,8022596886,660088,886695772,72100,154267,3095715008,25430
1313,m04,SSD,1200000,32768,1024,16,14,2,rewriters,5918495.39,21,92993989,897411623,9180037,5508279,17595006,5936306,617651717,21106,2481,8022596886,660088,886695772,72100,154267,3095715008,25430
