,host,media,freq,fsize,rsize,threads,iter,subiter,test,throughput,runtime,L1-dcache-load-misses,L1-dcache-loads,L1-icache-load-misses,LLC-load-misses,LLC-loads,branch-misses,branches,context-switches,cpu-migrations,cycles,dTLB-load-misses,dTLB-loads,iTLB-load-misses,iTLB-loads,instructions,page-faults
854,m03,SSD,1200000,32768,1024,16,7,3,random-readers,11840932.81,21,95042974,1023307288,9575332,5426469,21580768,6312877,638415419,12704,2031,15246609621,694364,760830993,152662,263179,2975021684,25578
855,m03,SSD,1200000,32768,1024,16,7,4,random-writers,6823580.31,21,95042974,1023307288,9575332,5426469,21580768,6312877,638415419,12704,2031,15246609621,694364,760830993,152662,263179,2975021684,25578
6130,m03,SSD,1200000,32768,1024,16,8,1,initial-writers,4857685.88,20,93275545,904347635,10938354,5414867,20012712,5616546,572590739,12398,2162,14400761274,731020,833964920,143973,213591,2767786288,25566
6131,m03,SSD,1200000,32768,1024,16,8,2,rewriters,6408145.92,20,93275545,904347635,10938354,5414867,20012712,5616546,572590739,12398,2162,14400761274,731020,833964920,143973,213591,2767786288,25566
6132,m03,SSD,1200000,32768,1024,16,8,3,random-readers,12885140.00,20,93275545,904347635,10938354,5414867,20012712,5616546,572590739,12398,2162,14400761274,731020,833964920,143973,213591,2767786288,25566
6133,m03,SSD,1200000,32768,1024,16,8,4,random-writers,6536216.59,20,93275545,904347635,10938354,5414867,20012712,5616546,572590739,12398,2162,14400761274,731020,833964920,143973,213591,2767786288,25566
4780,m03,SSD,1200000,32768,1024,16,9,1,initial-writers,4869548.81,21,94428776,974302629,9750332,5340532,19560955,6126913,634915421,12317,2069,15268020641,776545,805878912,151130,212250,3008796789,25429
4781,m03,SSD,1200000,32768,1024,16,9,2,rewriters,6455334.34,21,94428776,974302629,9750332,5340532,19560955,6126913,634915421,12317,2069,15268020641,776545,805878912,151130,212250,3008796789,25429
4782,m03,SSD,1200000,32768,1024,16,9,3,random-readers,14047566.38,21,94428776,974302629,9750332,5340532,19560955,6126913,634915421,12317,2069,15268020641,776545,805878912,151130,212250,3008796789,25429
4783,m03,SSD,1200000,32768,1024,16,9,4,random-writers,6166294.03,21,94428776,974302629,9750332,5340532,19560955,6126913,634915421,12317,2069,15268020641,776545,805878912,151130,212250,3008796789,25429
1722,m03,SSD,1200000,32768,1024,16,10,1,initial-writers,4903818.31,21,94337352,912570269,9844218,4972617,18725227,5894095,618070967,11865,1378,14078660005,710563,867405031,92084,176469,3036060284,25518
1723,m03,SSD,1200000,32768,1024,16,10,2,rewriters,6904826.28,21,94337352,912570269,9844218,4972617,18725227,5894095,618070967,11865,1378,14078660005,710563,867405031,92084,176469,3036060284,25518
1724,m03,SSD,1200000,32768,1024,16,10,3,random-readers,13386034.85,21,94337352,912570269,9844218,4972617,18725227,5894095,618070967,11865,1378,14078660005,710563,867405031,92084,176469,3036060284,25518
1725,m03,SSD,1200000,32768,1024,16,10,4,random-writers,6411764.97,21,94337352,912570269,9844218,4972617,18725227,5894095,618070967,11865,1378,14078660005,710563,867405031,92084,176469,3036060284,25518
7990,m03,SSD,1200000,32768,1024,16,11,1,initial-writers,4914390.97,21,92079586,937180685,9605411,4983716,18595271,5902852,618608818,11364,1280,14760887599,844632,865801498,152822,235016,3068883796,25528
7991,m03,SSD,1200000,32768,1024,16,11,2,rewriters,6809222.97,21,92079586,937180685,9605411,4983716,18595271,5902852,618608818,11364,1280,14760887599,844632,865801498,152822,235016,3068883796,25528
7992,m03,SSD,1200000,32768,1024,16,11,3,random-readers,12022907.84,21,92079586,937180685,9605411,4983716,18595271,5902852,618608818,11364,1280,14760887599,844632,865801498,152822,235016,3068883796,25528
7993,m03,SSD,1200000,32768,1024,16,11,4,random-writers,6119271.12,21,92079586,937180685,9605411,4983716,18595271,5902852,618608818,11364,1280,14760887599,844632,865801498,152822,235016,3068883796,25528
452,m03,SSD,1200000,32768,1024,16,12,1,initial-writers,4847149.59,21,96192973,961050915,10076884,5658863,21479582,6125126,623284000,12134,1950,15907805029,776513,837828213,162576,245426,2904059334,25459
453,m03,SSD,1200000,32768,1024,16,12,2,rewriters,6719447.84,21,96192973,961050915,10076884,5658863,21479582,6125126,623284000,12134,1950,15907805029,776513,837828213,162576,245426,2904059334,25459
454,m03,SSD,1200000,32768,1024,16,12,3,random-readers,10815049.88,21,96192973,961050915,10076884,5658863,21479582,6125126,623284000,12134,1950,15907805029,776513,837828213,162576,245426,2904059334,25459
455,m03,SSD,1200000,32768,1024,16,12,4,random-writers,6263502.56,21,96192973,961050915,10076884,5658863,21479582,6125126,623284000,12134,1950,15907805029,776513,837828213,162576,245426,2904059334,25459
7088,m03,SSD,1200000,32768,1024,16,13,1,initial-writers,4751998.59,21,97032680,973370709,9909958,5142991,20853328,5970509,600875680,12864,1499,16199591990,718941,843524963,132321,238631,2778925655,25689
7089,m03,SSD,1200000,32768,1024,16,13,2,rewriters,6029948.81,21,97032680,973370709,9909958,5142991,20853328,5970509,600875680,12864,1499,16199591990,718941,843524963,132321,238631,2778925655,25689
7090,m03,SSD,1200000,32768,1024,16,13,3,random-readers,13273710.06,21,97032680,973370709,9909958,5142991,20853328,5970509,600875680,12864,1499,16199591990,718941,843524963,132321,238631,2778925655,25689
7091,m03,SSD,1200000,32768,1024,16,13,4,random-writers,6061593.88,21,97032680,973370709,9909958,5142991,20853328,5970509,600875680,12864,1499,16199591990,718941,843524963,132321,238631,2778925655,25689
1312,m03,SSD,1200000,32768,1024,16,14,1,initial-writers,4868391.16,21,92443945,960771657,9822826,5391412,19211357,5936690,612422109,12029,1289,15046334964,763187,824567784,115346,173484,2896976155,25547
1313,m03,SSD,1200000,32768,1024,16,14,2,rewriters,6597208.00,21,92443945,960771657,9822826,5391412,19211357,5936690,612422109,12029,1289,15046334964,763187,824567784,115346,173484,2896976155,25547
1314,m03,SSD,1200000,32768,1024,16,14,3,random-readers,10599232.91,21,92443945,960771657,9822826,5391412,19211357,5936690,612422109,12029,1289,15046334964,763187,824567784,115346,173484,2896976155,25547
1315,m03,SSD,1200000,32768,1024,16,14,4,random-writers,6888684.09,21,92443945,960771657,9822826,5391412,19211357,5936690,612422109,12029,1289,15046334964,763187,824567784,115346,173484,2896976155,25547
5010,m03,SSD,1200000,32768,1024,16,15,1,initial-writers,4755072.91,21,91381908,1002853882,9387522,5174885,19400322,6329633,650132419,12262,2067,15190124931,632146,756395941,167164,224518,3016095647,25606
5011,m03,SSD,1200000,32768,1024,16,15,2,rewriters,5955365.69,21,91381908,1002853882,9387522,5174885,19400322,6329633,650132419,12262,2067,15190124931,632146,756395941,167164,224518,3016095647,25606
5012,m03,SSD,1200000,32768,1024,16,15,3,random-readers,12814406.03,21,91381908,1002853882,9387522,5174885,19400322,6329633,650132419,12262,2067,15190124931,632146,756395941,167164,224518,3016095647,25606
5013,m03,SSD,1200000,32768,1024,16,15,4,random-writers,6325763.72,21,91381908,1002853882,9387522,5174885,19400322,6329633,650132419,12262,2067,15190124931,632146,756395941,167164,224518,3016095647,25606
7044,m03,SSD,1200000,32768,1024,16,16,1,initial-writers,4863821.44,21,89256129,950644699,9620953,6689495,20174856,6186173,633072035,12089,1176,15260194865,658328,801143590,113867,176438,2999032335,25633
7045,m03,SSD,1200000,32768,1024,16,16,2,rewriters,6372540.09,21,89256129,950644699,9620953,6689495,20174856,6186173,633072035,12089,1176,15260194865,658328,801143590,113867,176438,2999032335,25633
7046,m03,SSD,1200000,32768,1024,16,16,3,random-readers,13562601.36,21,89256129,950644699,9620953,6689495,20174856,6186173,633072035,12089,1176,15260194865,658328,801143590,113867,176438,2999032335,25633
7047,m03,SSD,1200000,32768,1024,16,16,4,random-writers,5662214.91,21,89256129,950644699,9620953,6689495,20174856,6186173,633072035,12089,1176,15260194865,658328,801143590,113867,176438,2999032335,25633
662,m03,SSD,1200000,32768,1024,16,17,1,initial-writers,4607910.77,21,99494308,927022352,10899322,5992606,23182069,5775451,562868679,12138,1909,16236983663,981860,899915449,109669,288144,2613633956,25688
663,m03,SSD,1200000,32768,1024,16,17,2,rewriters,5656052.47,21,99494308,927022352,10899322,5992606,23182069,5775451,562868679,12138,1909,16236983663,981860,899915449,109669,288144,2613633956,25688
664,m03,SSD,1200000,32768,1024,16,17,3,random-readers,10795803.31,21,99494308,927022352,10899322,5992606,23182069,5775451,562868679,12138,1909,16236983663,981860,899915449,109669,288144,2613633956,25688
665,m03,SSD,1200000,32768,1024,16,17,4,random-writers,6715360.72,21,99494308,927022352,10899322,5992606,23182069,5775451,562868679,12138,1909,16236983663,981860,899915449,109669,288144,2613633956,25688
7236,m03,SSD,1200000,32768,1024,16,18,1,initial-writers,4706646.66,21,95203852,875204490,10199337,5500824,20773120,5651513,566728043,11832,1294,15050072765,912395,909263270,118193,274755,2698153885,25566
7237,m03,SSD,1200000,32768,1024,16,18,2,rewriters,6388517.19,21,95203852,875204490,10199337,5500824,20773120,5651513,566728043,11832,1294,15050072765,912395,909263270,118193,274755,2698153885,25566
7238,m03,SSD,1200000,32768,1024,16,18,3,random-readers,9428762.28,21,95203852,875204490,10199337,5500824,20773120,5651513,566728043,11832,1294,15050072765,912395,909263270,118193,274755,2698153885,25566
7239,m03,SSD,1200000,32768,1024,16,18,4,random-writers,6728476.34,21,95203852,875204490,10199337,5500824,20773120,5651513,566728043,11832,1294,15050072765,912395,909263270,118193,274755,2698153885,25566
3020,m03,SSD,1200000,32768,1024,16,19,1,initial-writers,4935085.50,21,95226518,1007296328,9716538,5401695,20499281,6115147,627490332,11591,1114,16146423289,671132,805626257,144771,215293,2894660815,25552
3021,m03,SSD,1200000,32768,1024,16,19,2,rewriters,5757200.81,21,95226518,1007296328,9716538,5401695,20499281,6115147,627490332,11591,1114,16146423289,671132,805626257,144771,215293,2894660815,25552
3022,m03,SSD,1200000,32768,1024,16,19,3,random-readers,12834264.56,21,95226518,1007296328,9716538,5401695,20499281,6115147,627490332,11591,1114,16146423289,671132,805626257,144771,215293,2894660815,25552
3023,m03,SSD,1200000,32768,1024,16,19,4,random-writers,6485414.16,21,95226518,1007296328,9716538,5401695,20499281,6115147,627490332,11591,1114,16146423289,671132,805626257,144771,215293,2894660815,25552
2110,m03,SSD,1200000,32768,1024,16,20,1,initial-writers,4829565.19,22,100337574,921287276,9967047,6253988,24084045,5930171,591572612,12244,1799,15434293570,890500,874521778,112551,258565,2826353789,25412
2111,m03,SSD,1200000,32768,1024,16,20,2,rewriters,6348547.75,22,100337574,921287276,9967047,6253988,24084045,5930171,591572612,12244,1799,15434293570,890500,874521778,112551,258565,2826353789,25412
