1,1200000,917589.975833
1,3001000,1210432.69871
256,1200000,260546741.509
256,3001000,521695116.898
1,1500000,947535.942875
16,1600000,17632390.6383
32,1400000,34216961.5741
32,3001000,45673903.5519
64,1200000,68209537.4607
64,1900000,84759493.4157
64,2700000,103035424.609
128,1200000,134466845.893
128,1500000,150684381.654
128,1800000,162379091.169
128,2000000,175823922.014
128,2300000,193121263.95
128,2700000,215084724.931
128,3000000,228315383.544
128,3001000,264631406.297
256,1400000,287160475.257
256,1600000,301799995.984
256,1800000,322119391.977
256,1900000,335625835.836
256,2000000,357722622.102
256,2300000,378074393.851
256,2500000,392909204.102
256,2700000,440660339.453
256,2900000,460275226.966
256,3000000,474454375.821
