32,1200000,53642816.0043
32,3001000,94373763.0251
512,1200000,60749947.9325
512,3001000,119603551.797
32,1400000,57254023.8599
32,1600000,59750757.7549
32,2400000,79958630.2016
32,2800000,81718758.6365
32,3000000,86806327.5312
128,1200000,64424112.692
128,1500000,72397706.4659
128,1600000,76224668.809
128,2100000,90123855.9735
128,2500000,96700320.811
128,2800000,105529129.263
128,2900000,108008363.743
128,3000000,112131185.441
128,3001000,122402102.435
512,1400000,67939137.6391
512,1800000,74426455.8332
512,1900000,78062504.2033
512,2800000,101548100.993
