64,1,94343022673.6
64,256,9.08678865991e+15
1024,1,661653897025
1024,256,1.55452133042e+16
64,2,590471687817
64,4,2.45873433913e+12
64,16,3.78647719393e+13
64,32,1.43205875645e+14
64,64,6.24612258831e+14
64,128,2.4666242121e+15
256,2,2.65662513955e+12
256,4,9.37610938174e+12
256,8,3.02039033907e+13
256,16,9.50942140324e+13
256,32,3.1906465615e+14
256,64,1.60054488829e+15
256,128,7.16863373967e+15
256,256,2.87371652166e+16
1024,4,6.25937882881e+12
1024,8,1.40338582201e+13
1024,16,5.11941026205e+13
1024,32,2.12704938127e+14
1024,64,9.22865669046e+14
1024,128,3.52391487172e+15
