Policy,Max Steps,Adaptive,Avg Max Changes,Avg Avg Changes,Avg L2,Max Changes,Avg Changes,L2
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,1,1.0,0.009731264999541248
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,1,1.0,0.004039955183174904
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,10,2.888888888888889,928.4207791433031
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,1,1.0,3.95753165930374
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,1,1.0,1.2013505348633393
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,1,1.0,2.2664919416150444
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,1,1.0,0.05349221317873013
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,1,1.0,0.5166032733521416
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,2,1.1111111111111112,294.2367622663989
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,1,1.0,0.11365289301925972
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,1,1.0,0.004695560752436527
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,20,4.333333333333333,0.012036371481776192
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,1,1.0,0.0006018908001511694
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,1,1.0,2.0765642928378267
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,1,1.0,0.0077831871019649395
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,1,1.0,0.00045233965792975257
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,1,1.0,0.03487970722390428
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,1,1.0,0.01597933234887771
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,1,1.0,0.0003844773132319753
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,2,1.125,0.007446792403820522
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,32,6.166666666666667,0.30505100270470836
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,1,1.0,0.014609022588654154
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,1,1.0,0.012390308188695536
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,11,2.4444444444444446,0.14681137966587882
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,1,1.0,0.004133434688648721
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,1,1.0,0.007943026884200866
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,1,1.0,2.039788444955558
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,2,1.1666666666666667,0.018680398925286074
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,2,1.25,0.01854622679947253
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,1,1.0,0.7240934393219897
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,5,1.5714285714285714,3.968253358356288
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,1,1.0,0.002332390923436689
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,1,1.0,5.949381720534054
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,1,1.0,0.39180554458671263
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,66,8.222222222222221,0.062347820084568795
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,1,1.0,0.0046033706940904725
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,8,1.8888888888888888,0.08759956017412789
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,1,1.0,0.5050104072034493
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,1,1.0,2.8139587141862403
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,30,5.666666666666667,0.08857683670883501
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,27,3.6,0.09021764573771122
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,1,1.0,0.08055796389826275
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,1,1.0,22.429554329973097
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,7,2.6,0.023660228280784523
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,1,1.0,0.003082356672937705
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,8,1.875,4116.277864574487
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,1,1.0,0.0009933617008540934
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,1,1.0,1.2055931496314818
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,1,1.0,0.01869992670788132
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,2,1.125,0.011445293898782348
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,1,1.0,0.005522024784236831
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,2,1.125,0.003643586837054284
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,2,1.1428571428571428,0.01193752068790373
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,1,1.0,0.0023538665954967917
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,1,1.0,0.0028399410892380956
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,2,1.125,0.009980686591410378
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,1,1.0,0.0012646833689758867
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,2,1.125,0.0034979805239912353
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,10,1.8181818181818181,0.048684228318683555
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,1,1.0,0.0011276547799999133
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,2,1.2222222222222223,0.060027069440891506
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,1,1.0,0.04160410239624828
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,33,9.0,5.891054436378526
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,1,1.0,0.04940016419755767
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,1,1.0,0.004248132969188906
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,1,1.0,0.0049798342294538655
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,2,1.125,0.0012212216145720324
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,2,1.1111111111111112,0.002505605128832299
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,6,2.2,0.0011516209815758956
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,2,1.125,0.005102415075884124
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,1,1.0,0.04415741511190295
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,2,1.0909090909090908,0.20430513204532302
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,2,1.1666666666666667,0.10956261208342306
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,1,1.0,1.383519137857049
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,1,1.0,0.1753167940865062
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,1,1.0,0.2977107249594969
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,90,13.714285714285714,0.20551064539932568
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,1,1.0,9.793148214611717e-06
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,1,1.0,0.006259492339573523
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,1,1.0,0.0019267122060305229
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,1,1.0,0.011370546264393934
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,1,1.0,0.00025224782895586043
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,2,1.2222222222222223,0.01753610096181307
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,8,1.7777777777777777,0.8045767636075543
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,1,1.0,0.6522040820564964
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,32,6.1,0.4716826491507646
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,1,1.0,2.2293981065355702e-05
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,54,7.625,0.046574231557657476
Adaptive,1000,0.01,6.9,1.8379758297258295,54.06164742497094,1,1.0,1.2815117888074103
