"","Frequency","File.Size","Record.Size","Num.Threads","Test","disnumcomp","disname"
"1",3.5,4,4,1,"initial_writers","3","normcomp"
"2",3.5,4,4,1,"rewriters","5","lnormcomp"
"101",3.5,4,4,8,"initial_writers","3","normcomp"
"102",3.5,4,4,8,"rewriters","4","lnormcomp"
"201",3.5,4,4,16,"initial_writers","2","lnormcomp"
"202",3.5,4,4,16,"rewriters","5","lnormcomp"
"301",3.5,4,4,24,"initial_writers","2","lnormcomp"
"302",3.5,4,4,24,"rewriters","5","lnormcomp"
"401",3.5,4,4,32,"initial_writers","3","normcomp"
"402",3.5,4,4,32,"rewriters","5","lnormcomp"
"501",3.5,4,4,40,"initial_writers","3","normcomp"
"502",3.5,4,4,40,"rewriters","5","lnormcomp"
"601",3.5,4,4,48,"initial_writers","3","normcomp"
"602",3.5,4,4,48,"rewriters","5","normcomp"
"701",3.5,4,4,56,"initial_writers","4","normcomp"
"702",3.5,4,4,56,"rewriters","3","gammacomp"
"801",3.5,4,4,64,"initial_writers","5","lnormcomp"
"802",3.5,4,4,64,"rewriters","5","normcomp"
"901",3.5,16,4,1,"initial_writers","3","normcomp"
"902",3.5,16,4,1,"rewriters","5","lnormcomp"
"1001",3.5,16,4,8,"initial_writers","2","weibullcomp"
"1002",3.5,16,4,8,"rewriters","2","lnormcomp"
"1101",3.5,16,4,16,"initial_writers","2","gammacomp"
"1102",3.5,16,4,16,"rewriters","4","normcomp"
"1201",3.5,16,4,24,"initial_writers","2","gammacomp"
"1202",3.5,16,4,24,"rewriters","3","lnormcomp"
"1301",3.5,16,4,32,"initial_writers","2","gammacomp"
"1302",3.5,16,4,32,"rewriters","5","lnormcomp"
"1401",3.5,16,4,40,"initial_writers","2","weibullcomp"
"1402",3.5,16,4,40,"rewriters","3","lnormcomp"
"1501",3.5,16,4,48,"initial_writers","2","normcomp"
"1502",3.5,16,4,48,"rewriters","4","normcomp"
"1601",3.5,16,4,56,"initial_writers","2","weibullcomp"
"1602",3.5,16,4,56,"rewriters","2","gammacomp"
"1701",3.5,16,4,64,"initial_writers","2","gammacomp"
"1702",3.5,16,4,64,"rewriters","2","weibullcomp"
"1801",3.5,16,8,1,"initial_writers","3","normcomp"
"1802",3.5,16,8,1,"rewriters","5","normcomp"
"1901",3.5,16,8,8,"initial_writers","2","lnormcomp"
"1902",3.5,16,8,8,"rewriters","2","lnormcomp"
"2001",3.5,16,8,16,"initial_writers","2","lnormcomp"
"2002",3.5,16,8,16,"rewriters","3","normcomp"
"2101",3.5,16,8,24,"initial_writers","2","lnormcomp"
"2102",3.5,16,8,24,"rewriters","2","lnormcomp"
"2201",3.5,16,8,32,"initial_writers","2","lnormcomp"
"2202",3.5,16,8,32,"rewriters","4","lnormcomp"
"2301",3.5,16,8,40,"initial_writers","2","lnormcomp"
"2302",3.5,16,8,40,"rewriters","2","lnormcomp"
"2401",3.5,16,8,48,"initial_writers","2","lnormcomp"
"2402",3.5,16,8,48,"rewriters","2","lnormcomp"
"2501",3.5,16,8,56,"initial_writers","2","gammacomp"
"2502",3.5,16,8,56,"rewriters","3","normcomp"
"2601",3.5,16,8,64,"initial_writers","2","gammacomp"
"2602",3.5,16,8,64,"rewriters","2","lnormcomp"
"2701",3.5,16,16,1,"initial_writers","3","lnormcomp"
"2702",3.5,16,16,1,"rewriters","5","normcomp"
"2801",3.5,16,16,8,"initial_writers","3","lnormcomp"
"2802",3.5,16,16,8,"rewriters","4","lnormcomp"
"2901",3.5,16,16,16,"initial_writers","2","lnormcomp"
"2902",3.5,16,16,16,"rewriters","3","lnormcomp"
"3001",3.5,16,16,24,"initial_writers","2","lnormcomp"
"3002",3.5,16,16,24,"rewriters","2","lnormcomp"
"3101",3.5,16,16,32,"initial_writers","2","lnormcomp"
"3102",3.5,16,16,32,"rewriters","5","normcomp"
"3201",3.5,16,16,40,"initial_writers","2","lnormcomp"
"3202",3.5,16,16,40,"rewriters","5","lnormcomp"
"3301",3.5,16,16,48,"initial_writers","2","lnormcomp"
"3302",3.5,16,16,48,"rewriters","5","lnormcomp"
"3401",3.5,16,16,56,"initial_writers","2","lnormcomp"
"3402",3.5,16,16,56,"rewriters","5","normcomp"
"3501",3.5,16,16,64,"initial_writers","4","normcomp"
"3502",3.5,16,16,64,"rewriters","4","lnormcomp"
"3601",3.5,64,4,1,"initial_writers","4","lnormcomp"
"3602",3.5,64,4,1,"rewriters","5","normcomp"
"3701",3.5,64,4,8,"initial_writers","2","normcomp"
"3702",3.5,64,4,8,"rewriters","4","lnormcomp"
"3801",3.5,64,4,16,"initial_writers","2","normcomp"
"3802",3.5,64,4,16,"rewriters","5","normcomp"
"3901",3.5,64,4,24,"initial_writers","2","weibullcomp"
"3902",3.5,64,4,24,"rewriters","3","normcomp"
"4001",3.5,64,4,32,"initial_writers","2","normcomp"
"4002",3.5,64,4,32,"rewriters","4","normcomp"
"4101",3.5,64,4,40,"initial_writers","2","normcomp"
"4102",3.5,64,4,40,"rewriters","3","normcomp"
"4201",3.5,64,4,48,"initial_writers","2","normcomp"
"4202",3.5,64,4,48,"rewriters","3","normcomp"
"4301",3.5,64,4,56,"initial_writers","2","normcomp"
"4302",3.5,64,4,56,"rewriters","3","normcomp"
"4401",3.5,64,4,64,"initial_writers","2","normcomp"
"4402",3.5,64,4,64,"rewriters","2","weibullcomp"
"4501",3.5,64,8,1,"initial_writers","3","normcomp"
"4502",3.5,64,8,1,"rewriters","5","normcomp"
"4601",3.5,64,8,8,"initial_writers","2","lnormcomp"
"4602",3.5,64,8,8,"rewriters","5","lnormcomp"
"4701",3.5,64,8,16,"initial_writers","2","lnormcomp"
"4702",3.5,64,8,16,"rewriters","3","normcomp"
"4801",3.5,64,8,24,"initial_writers","2","normcomp"
"4802",3.5,64,8,24,"rewriters","3","normcomp"
"4901",3.5,64,8,32,"initial_writers","2","normcomp"
"4902",3.5,64,8,32,"rewriters","3","normcomp"
"5001",3.5,64,8,40,"initial_writers","2","lnormcomp"
"5002",3.5,64,8,40,"rewriters","3","normcomp"
"5101",3.5,64,8,48,"initial_writers","2","normcomp"
"5102",3.5,64,8,48,"rewriters","3","normcomp"
"5201",3.5,64,8,56,"initial_writers","2","normcomp"
"5202",3.5,64,8,56,"rewriters","3","normcomp"
"5301",3.5,64,8,64,"initial_writers","2","normcomp"
"5302",3.5,64,8,64,"rewriters","3","normcomp"
"5401",3.5,64,16,1,"initial_writers","4","lnormcomp"
"5402",3.5,64,16,1,"rewriters","3","lnormcomp"
"5501",3.5,64,16,8,"initial_writers","2","normcomp"
"5502",3.5,64,16,8,"rewriters","5","lnormcomp"
"5601",3.5,64,16,16,"initial_writers","2","normcomp"
"5602",3.5,64,16,16,"rewriters","3","normcomp"
"5701",3.5,64,16,24,"initial_writers","2","normcomp"
"5702",3.5,64,16,24,"rewriters","3","lnormcomp"
"5801",3.5,64,16,32,"initial_writers","2","weibullcomp"
"5802",3.5,64,16,32,"rewriters","3","normcomp"
"5901",3.5,64,16,40,"initial_writers","2","normcomp"
"5902",3.5,64,16,40,"rewriters","3","normcomp"
"6001",3.5,64,16,48,"initial_writers","2","normcomp"
"6002",3.5,64,16,48,"rewriters","3","normcomp"
"6101",3.5,64,16,56,"initial_writers","2","normcomp"
"6102",3.5,64,16,56,"rewriters","3","normcomp"
"6201",3.5,64,16,64,"initial_writers","2","weibullcomp"
"6202",3.5,64,16,64,"rewriters","3","normcomp"
"6301",3.5,64,32,1,"initial_writers","3","normcomp"
"6302",3.5,64,32,1,"rewriters","5","lnormcomp"
"6401",3.5,64,32,8,"initial_writers","2","lnormcomp"
"6402",3.5,64,32,8,"rewriters","4","lnormcomp"
"6501",3.5,64,32,16,"initial_writers","2","normcomp"
"6502",3.5,64,32,16,"rewriters","3","normcomp"
"6601",3.5,64,32,24,"initial_writers","2","normcomp"
"6602",3.5,64,32,24,"rewriters","2","gammacomp"
"6701",3.5,64,32,32,"initial_writers","2","weibullcomp"
"6702",3.5,64,32,32,"rewriters","3","gammacomp"
"6801",3.5,64,32,40,"initial_writers","2","weibullcomp"
"6802",3.5,64,32,40,"rewriters","3","lnormcomp"
"6901",3.5,64,32,48,"initial_writers","2","weibullcomp"
"6902",3.5,64,32,48,"rewriters","3","normcomp"
"7001",3.5,64,32,56,"initial_writers","2","weibullcomp"
"7002",3.5,64,32,56,"rewriters","2","gammacomp"
"7101",3.5,64,32,64,"initial_writers","2","weibullcomp"
"7102",3.5,64,32,64,"rewriters","2","weibullcomp"
"7201",3.5,64,64,1,"initial_writers","3","normcomp"
"7202",3.5,64,64,1,"rewriters","5","lnormcomp"
"7301",3.5,64,64,8,"initial_writers","2","lnormcomp"
"7302",3.5,64,64,8,"rewriters","5","lnormcomp"
"7401",3.5,64,64,16,"initial_writers","2","lnormcomp"
"7402",3.5,64,64,16,"rewriters","5","normcomp"
"7501",3.5,64,64,24,"initial_writers","2","lnormcomp"
"7502",3.5,64,64,24,"rewriters","5","normcomp"
"7601",3.5,64,64,32,"initial_writers","2","lnormcomp"
"7602",3.5,64,64,32,"rewriters","5","lnormcomp"
"7701",3.5,64,64,40,"initial_writers","2","lnormcomp"
"7702",3.5,64,64,40,"rewriters","5","normcomp"
"7801",3.5,64,64,48,"initial_writers","2","lnormcomp"
"7802",3.5,64,64,48,"rewriters","4","normcomp"
"7901",3.5,64,64,56,"initial_writers","2","lnormcomp"
"7902",3.5,64,64,56,"rewriters","5","normcomp"
"8001",3.5,64,64,64,"initial_writers","2","lnormcomp"
"8002",3.5,64,64,64,"rewriters","5","normcomp"
"8101",3.5,256,4,1,"initial_writers","3","lnormcomp"
"8102",3.5,256,4,1,"rewriters","5","normcomp"
"8201",3.5,256,4,8,"initial_writers","2","normcomp"
"8202",3.5,256,4,8,"rewriters","5","normcomp"
"8301",3.5,256,4,16,"initial_writers","3","lnormcomp"
"8302",3.5,256,4,16,"rewriters","2","normcomp"
"8401",3.5,256,4,24,"initial_writers","2","normcomp"
"8402",3.5,256,4,24,"rewriters","3","lnormcomp"
"8501",3.5,256,4,32,"initial_writers","2","lnormcomp"
"8502",3.5,256,4,32,"rewriters","3","normcomp"
"8601",3.5,256,4,40,"initial_writers","2","normcomp"
"8602",3.5,256,4,40,"rewriters","3","normcomp"
"8701",3.5,256,4,48,"initial_writers","3","normcomp"
"8702",3.5,256,4,48,"rewriters","3","normcomp"
"8801",3.5,256,4,56,"initial_writers","2","normcomp"
"8802",3.5,256,4,56,"rewriters","3","normcomp"
"8901",3.5,256,4,64,"initial_writers","2","normcomp"
"8902",3.5,256,4,64,"rewriters","2","normcomp"
"9001",3.5,256,8,1,"initial_writers","4","normcomp"
"9002",3.5,256,8,1,"rewriters","5","normcomp"
"9101",3.5,256,8,8,"initial_writers","2","lnormcomp"
"9102",3.5,256,8,8,"rewriters","5","lnormcomp"
"9201",3.5,256,8,16,"initial_writers","2","normcomp"
"9202",3.5,256,8,16,"rewriters","2","normcomp"
"9301",3.5,256,8,24,"initial_writers","2","normcomp"
"9302",3.5,256,8,24,"rewriters","3","normcomp"
"9401",3.5,256,8,32,"initial_writers","2","normcomp"
"9402",3.5,256,8,32,"rewriters","3","normcomp"
"9501",3.5,256,8,40,"initial_writers","3","normcomp"
"9502",3.5,256,8,40,"rewriters","3","normcomp"
"9601",3.5,256,8,48,"initial_writers","3","normcomp"
"9602",3.5,256,8,48,"rewriters","3","normcomp"
"9701",3.5,256,8,56,"initial_writers","2","normcomp"
"9702",3.5,256,8,56,"rewriters","3","normcomp"
"9801",3.5,256,8,64,"initial_writers","2","normcomp"
"9802",3.5,256,8,64,"rewriters","2","normcomp"
"9901",3.5,256,16,1,"initial_writers","4","lnormcomp"
"9902",3.5,256,16,1,"rewriters","5","normcomp"
"10001",3.5,256,16,8,"initial_writers","2","lnormcomp"
"10002",3.5,256,16,8,"rewriters","5","normcomp"
"10101",3.5,256,16,16,"initial_writers","2","normcomp"
"10102",3.5,256,16,16,"rewriters","2","normcomp"
"10161",3.2,4,4,1,"initial_writers","3","normcomp"
"10162",3.2,4,4,1,"rewriters","5","lnormcomp"
"10205",3.5,256,16,24,"initial_writers","2","normcomp"
"10206",3.5,256,16,24,"rewriters","3","normcomp"
"10309",3.5,256,16,32,"initial_writers","2","normcomp"
"10310",3.5,256,16,32,"rewriters","3","normcomp"
"10413",3.5,256,16,40,"initial_writers","2","normcomp"
"10414",3.5,256,16,40,"rewriters","3","normcomp"
"10517",3.5,256,16,48,"initial_writers","2","normcomp"
"10518",3.5,256,16,48,"rewriters","3","normcomp"
"10621",3.5,256,16,56,"initial_writers","3","normcomp"
"10622",3.5,256,16,56,"rewriters","3","lnormcomp"
"10681",3.2,4,4,8,"initial_writers","3","normcomp"
"10682",3.2,4,4,8,"rewriters","5","normcomp"
"10725",3.5,256,16,64,"initial_writers","2","normcomp"
"10726",3.5,256,16,64,"rewriters","2","normcomp"
"10829",3.5,256,32,1,"initial_writers","4","lnormcomp"
"10830",3.5,256,32,1,"rewriters","5","normcomp"
"10929",3.5,256,32,8,"initial_writers","2","lnormcomp"
"10930",3.5,256,32,8,"rewriters","4","lnormcomp"
"11029",3.5,256,32,16,"initial_writers","2","normcomp"
"11030",3.5,256,32,16,"rewriters","3","normcomp"
"11133",3.5,256,32,24,"initial_writers","2","normcomp"
"11134",3.5,256,32,24,"rewriters","2","weibullcomp"
"11237",3.5,256,32,32,"initial_writers","2","normcomp"
"11238",3.5,256,32,32,"rewriters","3","normcomp"
"11341",3.5,256,32,40,"initial_writers","2","lnormcomp"
"11342",3.5,256,32,40,"rewriters","3","normcomp"
"11397",2.8,4,4,1,"initial_writers","4","normcomp"
"11398",2.8,4,4,1,"rewriters","5","lnormcomp"
"11445",3.5,256,32,48,"initial_writers","2","normcomp"
"11446",3.5,256,32,48,"rewriters","3","normcomp"
"11549",3.5,256,32,56,"initial_writers","3","normcomp"
"11550",3.5,256,32,56,"rewriters","2","weibullcomp"
"11653",3.5,256,32,64,"initial_writers","2","normcomp"
"11654",3.5,256,32,64,"rewriters","2","weibullcomp"
"11757",3.5,256,64,1,"initial_writers","3","normcomp"
"11758",3.5,256,64,1,"rewriters","5","lnormcomp"
"11857",3.5,256,64,8,"initial_writers","2","normcomp"
"11858",3.5,256,64,8,"rewriters","4","lnormcomp"
"11957",3.5,256,64,16,"initial_writers","2","lnormcomp"
"11958",3.5,256,64,16,"rewriters","4","normcomp"
"12061",2.8,4,4,8,"initial_writers","3","lnormcomp"
"12062",2.8,4,4,8,"rewriters","4","lnormcomp"
"12063",3.5,256,64,24,"initial_writers","2","normcomp"
"12064",3.5,256,64,24,"rewriters","3","normcomp"
"12171",3.5,256,64,32,"initial_writers","2","normcomp"
"12172",3.5,256,64,32,"rewriters","2","weibullcomp"
"12279",3.5,256,64,40,"initial_writers","2","lnormcomp"
"12280",3.5,256,64,40,"rewriters","2","weibullcomp"
"12327",2.3,4,4,1,"initial_writers","3","normcomp"
"12328",2.3,4,4,1,"rewriters","5","normcomp"
"12387",3.5,256,64,48,"initial_writers","2","normcomp"
"12388",3.5,256,64,48,"rewriters","3","normcomp"
"12495",3.5,256,64,56,"initial_writers","3","lnormcomp"
"12496",3.5,256,64,56,"rewriters","2","weibullcomp"
"12537",3.5,256,64,64,"initial_writers","2","normcomp"
"12538",3.5,256,64,64,"rewriters","3","normcomp"
"12641",3.5,256,128,1,"initial_writers","3","lnormcomp"
"12642",3.5,256,128,1,"rewriters","5","lnormcomp"
"12693",2.3,4,4,8,"initial_writers","2","lnormcomp"
"12694",2.3,4,4,8,"rewriters","4","lnormcomp"
"12745",3.5,256,128,8,"initial_writers","3","lnormcomp"
"12746",3.5,256,128,8,"rewriters","4","lnormcomp"
"12849",3.5,256,256,1,"initial_writers","3","normcomp"
"12850",3.5,256,256,1,"rewriters","4","lnormcomp"
"12913",3.5,256,128,16,"initial_writers","2","weibullcomp"
"12914",3.5,256,128,16,"rewriters","3","normcomp"
"13021",3.5,256,128,24,"initial_writers","2","normcomp"
"13022",3.5,256,128,24,"rewriters","3","normcomp"
"13057",2,4,4,1,"initial_writers","5","normcomp"
"13058",2,4,4,1,"rewriters","5","normcomp"
"13129",3.5,256,128,32,"initial_writers","2","weibullcomp"
"13130",3.5,256,128,32,"rewriters","4","lnormcomp"
"13237",3.5,256,128,40,"initial_writers","2","weibullcomp"
"13238",3.5,256,128,40,"rewriters","3","lnormcomp"
"13317",2,4,4,8,"initial_writers","2","lnormcomp"
"13318",2,4,4,8,"rewriters","4","lnormcomp"
"13347",3.5,256,128,48,"initial_writers","2","normcomp"
"13348",3.5,256,128,48,"rewriters","4","lnormcomp"
"13455",3.5,256,128,56,"initial_writers","2","normcomp"
"13456",3.5,256,128,56,"rewriters","3","normcomp"
"13563",3.5,256,128,64,"initial_writers","2","normcomp"
"13564",3.5,256,128,64,"rewriters","3","normcomp"
"13761",3.5,256,256,8,"initial_writers","2","lnormcomp"
"13762",3.5,256,256,8,"rewriters","5","lnormcomp"
"13861",3.5,256,256,16,"initial_writers","2","lnormcomp"
"13862",3.5,256,256,16,"rewriters","4","lnormcomp"
"13961",3.5,256,256,24,"initial_writers","2","normcomp"
"13962",3.5,256,256,24,"rewriters","5","normcomp"
"14061",3.5,256,256,32,"initial_writers","2","normcomp"
"14062",3.5,256,256,32,"rewriters","5","lnormcomp"
"14161",3.5,256,256,40,"initial_writers","2","normcomp"
"14162",3.5,256,256,40,"rewriters","5","lnormcomp"
"14261",3.5,256,256,48,"initial_writers","2","lnormcomp"
"14262",3.5,256,256,48,"rewriters","5","lnormcomp"
"14361",3.5,256,256,56,"initial_writers","2","lnormcomp"
"14362",3.5,256,256,56,"rewriters","4","normcomp"
"14461",3.5,256,256,64,"initial_writers","2","lnormcomp"
"14462",3.5,256,256,64,"rewriters","4","normcomp"
"14561",3.5,1024,4,1,"initial_writers","3","lnormcomp"
"14562",3.5,1024,4,1,"rewriters","5","normcomp"
"14661",3.5,1024,4,8,"initial_writers","2","lnormcomp"
"14662",3.5,1024,4,8,"rewriters","4","normcomp"
"14761",3.5,1024,4,16,"initial_writers","3","normcomp"
"14762",3.5,1024,4,16,"rewriters","2","normcomp"
"14861",3.5,1024,4,24,"initial_writers","2","lnormcomp"
"14862",3.5,1024,4,24,"rewriters","3","normcomp"
"14961",3.5,1024,4,32,"initial_writers","2","lnormcomp"
"14962",3.5,1024,4,32,"rewriters","3","normcomp"
"15061",3.5,1024,4,40,"initial_writers","3","lnormcomp"
"15062",3.5,1024,4,40,"rewriters","3","lnormcomp"
"15161",3.5,1024,4,48,"initial_writers","3","normcomp"
"15162",3.5,1024,4,48,"rewriters","4","normcomp"
"15261",3.5,1024,4,56,"initial_writers","3","normcomp"
"15262",3.5,1024,4,56,"rewriters","3","lnormcomp"
"15361",3.5,1024,4,64,"initial_writers","2","normcomp"
"15362",3.5,1024,4,64,"rewriters","2","gammacomp"
"15461",3.5,1024,8,1,"initial_writers","3","lnormcomp"
"15462",3.5,1024,8,1,"rewriters","5","normcomp"
"15561",3.5,1024,8,8,"initial_writers","2","lnormcomp"
"15562",3.5,1024,8,8,"rewriters","4","normcomp"
"15661",3.5,1024,8,16,"initial_writers","3","lnormcomp"
"15662",3.5,1024,8,16,"rewriters","4","normcomp"
"15761",3.5,1024,8,24,"initial_writers","2","normcomp"
"15762",3.5,1024,8,24,"rewriters","3","normcomp"
"15861",3.5,1024,8,32,"initial_writers","2","lnormcomp"
"15862",3.5,1024,8,32,"rewriters","3","lnormcomp"
"15961",3.5,1024,8,40,"initial_writers","2","lnormcomp"
"15962",3.5,1024,8,40,"rewriters","4","normcomp"
"16061",3.5,1024,8,48,"initial_writers","2","lnormcomp"
"16062",3.5,1024,8,48,"rewriters","3","lnormcomp"
"16161",3.5,1024,8,56,"initial_writers","2","normcomp"
"16162",3.5,1024,8,56,"rewriters","3","lnormcomp"
"16203",3.5,1024,8,64,"initial_writers","3","lnormcomp"
"16204",3.5,1024,8,64,"rewriters","2","gammacomp"
"16303",3.5,1024,16,1,"initial_writers","3","lnormcomp"
"16304",3.5,1024,16,1,"rewriters","5","lnormcomp"
"16403",3.5,1024,16,8,"initial_writers","2","normcomp"
"16404",3.5,1024,16,8,"rewriters","4","normcomp"
"16503",3.5,1024,32,1,"initial_writers","2","lnormcomp"
"16504",3.5,1024,32,1,"rewriters","5","normcomp"
"16563",3.5,1024,16,16,"initial_writers","3","lnormcomp"
"16564",3.5,1024,16,16,"rewriters","2","normcomp"
"16663",3.5,1024,16,24,"initial_writers","2","lnormcomp"
"16664",3.5,1024,16,24,"rewriters","4","lnormcomp"
"16763",3.5,1024,16,32,"initial_writers","2","lnormcomp"
"16764",3.5,1024,16,32,"rewriters","4","normcomp"
"16863",3.5,1024,16,40,"initial_writers","2","normcomp"
"16864",3.5,1024,16,40,"rewriters","3","lnormcomp"
"16963",3.5,1024,16,48,"initial_writers","3","normcomp"
"16964",3.5,1024,16,48,"rewriters","2","lnormcomp"
"17063",3.5,1024,16,56,"initial_writers","2","normcomp"
"17064",3.5,1024,16,56,"rewriters","4","normcomp"
"17163",3.5,1024,16,64,"initial_writers","2","normcomp"
"17164",3.5,1024,16,64,"rewriters","2","lnormcomp"
"17361",3.5,1024,32,8,"initial_writers","3","lnormcomp"
"17362",3.5,1024,32,8,"rewriters","4","normcomp"
"17461",3.5,1024,32,16,"initial_writers","2","lnormcomp"
"17462",3.5,1024,32,16,"rewriters","2","normcomp"
"17561",3.5,1024,32,24,"initial_writers","2","normcomp"
"17562",3.5,1024,32,24,"rewriters","3","lnormcomp"
"17661",3.5,1024,32,32,"initial_writers","2","lnormcomp"
"17662",3.5,1024,32,32,"rewriters","3","normcomp"
"17761",3.5,1024,32,40,"initial_writers","3","normcomp"
"17762",3.5,1024,32,40,"rewriters","2","lnormcomp"
"17861",3.5,1024,32,48,"initial_writers","2","normcomp"
"17862",3.5,1024,32,48,"rewriters","2","lnormcomp"
"17961",3.5,1024,32,56,"initial_writers","2","normcomp"
"17962",3.5,1024,32,56,"rewriters","2","lnormcomp"
"18061",3.5,1024,32,64,"initial_writers","2","normcomp"
"18062",3.5,1024,32,64,"rewriters","2","lnormcomp"
"18161",3.5,1024,64,1,"initial_writers","3","lnormcomp"
"18162",3.5,1024,64,1,"rewriters","5","normcomp"
"18261",3.5,1024,64,8,"initial_writers","2","normcomp"
"18262",3.5,1024,64,8,"rewriters","4","normcomp"
"18361",3.5,1024,64,16,"initial_writers","2","normcomp"
"18362",3.5,1024,64,16,"rewriters","2","lnormcomp"
"18461",3.5,1024,64,24,"initial_writers","3","normcomp"
"18462",3.5,1024,64,24,"rewriters","2","lnormcomp"
"18561",3.5,1024,64,32,"initial_writers","2","lnormcomp"
"18562",3.5,1024,64,32,"rewriters","2","lnormcomp"
"18661",3.5,1024,64,40,"initial_writers","2","normcomp"
"18662",3.5,1024,64,40,"rewriters","2","lnormcomp"
"18761",3.5,1024,64,48,"initial_writers","2","lnormcomp"
"18762",3.5,1024,64,48,"rewriters","2","normcomp"
"18861",3.5,1024,64,56,"initial_writers","3","normcomp"
"18862",3.5,1024,64,56,"rewriters","2","gammacomp"
"18961",3.5,1024,64,64,"initial_writers","2","lnormcomp"
"18962",3.5,1024,64,64,"rewriters","2","gammacomp"
"19061",3.5,1024,128,1,"initial_writers","3","lnormcomp"
"19062",3.5,1024,128,1,"rewriters","5","lnormcomp"
"19161",3.5,1024,128,8,"initial_writers","3","normcomp"
"19162",3.5,1024,128,8,"rewriters","4","normcomp"
"19261",3.5,1024,128,16,"initial_writers","2","normcomp"
"19262",3.5,1024,128,16,"rewriters","2","normcomp"
"19361",3.5,1024,128,24,"initial_writers","2","lnormcomp"
"19362",3.5,1024,128,24,"rewriters","2","gammacomp"
"19461",3.5,1024,128,32,"initial_writers","2","normcomp"
"19462",3.5,1024,128,32,"rewriters","2","lnormcomp"
"19561",3.5,1024,128,40,"initial_writers","2","normcomp"
"19562",3.5,1024,128,40,"rewriters","3","lnormcomp"
"19661",3.5,1024,128,48,"initial_writers","3","normcomp"
"19662",3.5,1024,128,48,"rewriters","4","normcomp"
"19761",3.5,1024,128,56,"initial_writers","2","normcomp"
"19762",3.5,1024,128,56,"rewriters","4","normcomp"
"19861",3.5,1024,128,64,"initial_writers","2","normcomp"
"19862",3.5,1024,128,64,"rewriters","3","lnormcomp"
"19961",3.5,1024,256,1,"initial_writers","3","normcomp"
"19962",3.5,1024,256,1,"rewriters","5","normcomp"
"20061",3.5,1024,256,8,"initial_writers","2","lnormcomp"
"20062",3.5,1024,256,8,"rewriters","3","normcomp"
"20161",3.5,1024,256,16,"initial_writers","2","normcomp"
"20162",3.5,1024,256,16,"rewriters","4","normcomp"
"20261",3.5,1024,256,24,"initial_writers","2","normcomp"
"20262",3.5,1024,256,24,"rewriters","2","lnormcomp"
"20361",3.5,1024,256,32,"initial_writers","2","normcomp"
"20362",3.5,1024,256,32,"rewriters","3","lnormcomp"
"20461",3.5,1024,256,40,"initial_writers","2","normcomp"
"20462",3.5,1024,256,40,"rewriters","2","lnormcomp"
"20561",3.5,1024,256,48,"initial_writers","3","normcomp"
"20562",3.5,1024,256,48,"rewriters","2","weibullcomp"
"20661",3.5,1024,256,56,"initial_writers","2","normcomp"
"20662",3.5,1024,256,56,"rewriters","2","lnormcomp"
"20761",3.5,1024,256,64,"initial_writers","2","normcomp"
"20762",3.5,1024,256,64,"rewriters","4","normcomp"
"20861",3.5,1024,512,1,"initial_writers","3","lnormcomp"
"20862",3.5,1024,512,1,"rewriters","5","normcomp"
"20961",3.5,1024,512,8,"initial_writers","3","lnormcomp"
"20962",3.5,1024,512,8,"rewriters","4","lnormcomp"
"21061",3.5,1024,512,16,"initial_writers","2","normcomp"
"21062",3.5,1024,512,16,"rewriters","5","normcomp"
"21161",3.5,1024,512,24,"initial_writers","2","normcomp"
"21162",3.5,1024,512,24,"rewriters","3","normcomp"
"21261",3.5,1024,512,32,"initial_writers","2","normcomp"
"21262",3.5,1024,512,32,"rewriters","2","lnormcomp"
"21361",3.5,1024,512,40,"initial_writers","2","normcomp"
"21362",3.5,1024,512,40,"rewriters","3","lnormcomp"
"21461",3.5,1024,512,48,"initial_writers","2","normcomp"
"21462",3.5,1024,512,48,"rewriters","2","lnormcomp"
"21561",3.5,1024,512,56,"initial_writers","2","normcomp"
"21562",3.5,1024,512,56,"rewriters","3","normcomp"
"21661",3.5,1024,512,64,"initial_writers","2","normcomp"
"21662",3.5,1024,512,64,"rewriters","3","lnormcomp"
"21761",3.5,1024,1024,1,"initial_writers","3","lnormcomp"
"21762",3.5,1024,1024,1,"rewriters","4","normcomp"
"21861",3.5,1024,1024,8,"initial_writers","2","lnormcomp"
"21862",3.5,1024,1024,8,"rewriters","4","lnormcomp"
"21961",3.5,1024,1024,16,"initial_writers","2","lnormcomp"
"21962",3.5,1024,1024,16,"rewriters","2","lnormcomp"
"22061",3.5,1024,1024,24,"initial_writers","2","normcomp"
"22062",3.5,1024,1024,24,"rewriters","2","lnormcomp"
"22161",3.5,1024,1024,32,"initial_writers","3","lnormcomp"
"22162",3.5,1024,1024,32,"rewriters","2","lnormcomp"
"22261",3.5,1024,1024,40,"initial_writers","4","normcomp"
"22262",3.5,1024,1024,40,"rewriters","2","lnormcomp"
"22361",3.5,1024,1024,48,"initial_writers","3","lnormcomp"
"22362",3.5,1024,1024,48,"rewriters","3","lnormcomp"
"22461",3.5,1024,1024,56,"initial_writers","3","normcomp"
"22462",3.5,1024,1024,56,"rewriters","3","lnormcomp"
"22561",3.5,1024,1024,64,"initial_writers","4","normcomp"
"22562",3.5,1024,1024,64,"rewriters","3","lnormcomp"
"22661",3.5,4096,4,1,"initial_writers","4","lnormcomp"
"22662",3.5,4096,4,1,"rewriters","5","normcomp"
"22761",3.5,4096,4,8,"initial_writers","3","normcomp"
