ID Media Frequency File.Size Record.Size Num.Threads Test runs distcomp disname
4802 SSD 3500000 64 8 24 rewriters 450 3 normcomp
4901 SSD 3500000 64 8 32 initial_writers 450 1 weibullcomp
4902 SSD 3500000 64 8 32 rewriters 450 3 normcomp
5001 SSD 3500000 64 8 40 initial_writers 450 2 lnormcomp
5002 SSD 3500000 64 8 40 rewriters 450 3 normcomp
5101 SSD 3500000 64 8 48 initial_writers 450 1 weibullcomp
5102 SSD 3500000 64 8 48 rewriters 450 3 normcomp
5201 SSD 3500000 64 8 56 initial_writers 450 2 normcomp
5202 SSD 3500000 64 8 56 rewriters 450 3 normcomp
5301 SSD 3500000 64 8 64 initial_writers 450 1 weibullcomp
5302 SSD 3500000 64 8 64 rewriters 450 3 normcomp
5401 SSD 3500000 64 16 1 initial_writers 450 4 lnormcomp
5402 SSD 3500000 64 16 1 rewriters 450 3 lnormcomp
5501 SSD 3500000 64 16 8 initial_writers 450 1 weibullcomp
5502 SSD 3500000 64 16 8 rewriters 450 5 lnormcomp
5601 SSD 3500000 64 16 16 initial_writers 450 1 weibullcomp
5602 SSD 3500000 64 16 16 rewriters 450 3 normcomp
5701 SSD 3500000 64 16 24 initial_writers 450 1 weibullcomp
5702 SSD 3500000 64 16 24 rewriters 450 3 lnormcomp
5801 SSD 3500000 64 16 32 initial_writers 450 1 weibullcomp
5802 SSD 3500000 64 16 32 rewriters 450 3 normcomp
5901 SSD 3500000 64 16 40 initial_writers 450 1 weibullcomp
5902 SSD 3500000 64 16 40 rewriters 450 3 normcomp
6001 SSD 3500000 64 16 48 initial_writers 450 1 weibullcomp
6002 SSD 3500000 64 16 48 rewriters 450 3 normcomp
6101 SSD 3500000 64 16 56 initial_writers 450 1 weibullcomp
6102 SSD 3500000 64 16 56 rewriters 450 3 normcomp
6201 SSD 3500000 64 16 64 initial_writers 450 1 weibullcomp
6202 SSD 3500000 64 16 64 rewriters 450 3 normcomp
6301 SSD 3500000 64 32 1 initial_writers 450 3 normcomp
6302 SSD 3500000 64 32 1 rewriters 450 5 lnormcomp
6401 SSD 3500000 64 32 8 initial_writers 450 2 lnormcomp
6402 SSD 3500000 64 32 8 rewriters 450 4 lnormcomp
6501 SSD 3500000 64 32 16 initial_writers 450 2 normcomp
6502 SSD 3500000 64 32 16 rewriters 450 3 normcomp
6601 SSD 3500000 64 32 24 initial_writers 450 2 normcomp
6602 SSD 3500000 64 32 24 rewriters 450 2 gammacomp
6701 SSD 3500000 64 32 32 initial_writers 450 2 weibullcomp
6702 SSD 3500000 64 32 32 rewriters 450 3 gammacomp
6801 SSD 3500000 64 32 40 initial_writers 450 2 weibullcomp
6802 SSD 3500000 64 32 40 rewriters 450 3 lnormcomp
6901 SSD 3500000 64 32 48 initial_writers 450 2 weibullcomp
6902 SSD 3500000 64 32 48 rewriters 450 3 normcomp
7001 SSD 3500000 64 32 56 initial_writers 450 2 weibullcomp
7002 SSD 3500000 64 32 56 rewriters 450 2 gammacomp
7101 SSD 3500000 64 32 64 initial_writers 450 2 weibullcomp
7102 SSD 3500000 64 32 64 rewriters 450 2 weibullcomp
7201 SSD 3500000 64 64 1 initial_writers 450 3 normcomp
7202 SSD 3500000 64 64 1 rewriters 450 5 lnormcomp
7301 SSD 3500000 64 64 8 initial_writers 450 2 lnormcomp
7302 SSD 3500000 64 64 8 rewriters 450 5 lnormcomp
7401 SSD 3500000 64 64 16 initial_writers 450 2 lnormcomp
7402 SSD 3500000 64 64 16 rewriters 450 5 normcomp
7501 SSD 3500000 64 64 24 initial_writers 450 2 lnormcomp
7502 SSD 3500000 64 64 24 rewriters 450 5 normcomp
7601 SSD 3500000 64 64 32 initial_writers 450 2 lnormcomp
7602 SSD 3500000 64 64 32 rewriters 450 5 lnormcomp
7701 SSD 3500000 64 64 40 initial_writers 450 2 lnormcomp
7702 SSD 3500000 64 64 40 rewriters 450 5 normcomp
7801 SSD 3500000 64 64 48 initial_writers 450 2 lnormcomp
7802 SSD 3500000 64 64 48 rewriters 450 4 normcomp
7901 SSD 3500000 64 64 56 initial_writers 450 2 lnormcomp
7902 SSD 3500000 64 64 56 rewriters 450 5 normcomp
8001 SSD 3500000 64 64 64 initial_writers 450 2 lnormcomp
8002 SSD 3500000 64 64 64 rewriters 450 5 normcomp
8101 SSD 3500000 256 4 1 initial_writers 450 3 lnormcomp
8102 SSD 3500000 256 4 1 rewriters 450 5 normcomp
8201 SSD 3500000 256 4 8 initial_writers 450 2 normcomp
8202 SSD 3500000 256 4 8 rewriters 450 5 normcomp
8301 SSD 3500000 256 4 16 initial_writers 450 1 gammacomp
8302 SSD 3500000 256 4 16 rewriters 450 2 normcomp
8401 SSD 3500000 256 4 24 initial_writers 450 2 normcomp
8402 SSD 3500000 256 4 24 rewriters 450 3 lnormcomp
8501 SSD 3500000 256 4 32 initial_writers 450 2 lnormcomp
8502 SSD 3500000 256 4 32 rewriters 450 3 normcomp
8601 SSD 3500000 256 4 40 initial_writers 450 2 normcomp
8602 SSD 3500000 256 4 40 rewriters 450 3 normcomp
8701 SSD 3500000 256 4 48 initial_writers 450 3 normcomp
8702 SSD 3500000 256 4 48 rewriters 450 3 normcomp
8801 SSD 3500000 256 4 56 initial_writers 450 2 normcomp
8802 SSD 3500000 256 4 56 rewriters 450 3 normcomp
8901 SSD 3500000 256 4 64 initial_writers 450 2 normcomp
8902 SSD 3500000 256 4 64 rewriters 450 2 normcomp
9001 SSD 3500000 256 8 1 initial_writers 450 4 normcomp
9002 SSD 3500000 256 8 1 rewriters 450 5 normcomp
9101 SSD 3500000 256 8 8 initial_writers 450 2 lnormcomp
9102 SSD 3500000 256 8 8 rewriters 450 5 lnormcomp
9201 SSD 3500000 256 8 16 initial_writers 450 1 normcomp
9202 SSD 3500000 256 8 16 rewriters 450 2 normcomp
9301 SSD 3500000 256 8 24 initial_writers 450 2 normcomp
9302 SSD 3500000 256 8 24 rewriters 450 3 normcomp
9401 SSD 3500000 256 8 32 initial_writers 450 2 normcomp
9402 SSD 3500000 256 8 32 rewriters 450 3 normcomp
9501 SSD 3500000 256 8 40 initial_writers 450 3 normcomp
9502 SSD 3500000 256 8 40 rewriters 450 3 normcomp
9601 SSD 3500000 256 8 48 initial_writers 450 3 normcomp
9602 SSD 3500000 256 8 48 rewriters 450 3 normcomp
9701 SSD 3500000 256 8 56 initial_writers 450 2 normcomp
9702 SSD 3500000 256 8 56 rewriters 450 3 normcomp
9801 SSD 3500000 256 8 64 initial_writers 450 2 normcomp
9802 SSD 3500000 256 8 64 rewriters 450 2 normcomp
9901 SSD 3500000 256 16 1 initial_writers 450 4 lnormcomp
9902 SSD 3500000 256 16 1 rewriters 450 5 normcomp
10001 SSD 3500000 256 16 8 initial_writers 450 2 lnormcomp
10002 SSD 3500000 256 16 8 rewriters 450 5 normcomp
10101 SSD 3500000 256 16 16 initial_writers 450 1 normcomp
10102 SSD 3500000 256 16 16 rewriters 450 2 normcomp
10161 SSD 3200000 4 4 1 initial_writers 450 3 normcomp
10162 SSD 3200000 4 4 1 rewriters 450 5 lnormcomp
10205 SSD 3500000 256 16 24 initial_writers 450 2 normcomp
10206 SSD 3500000 256 16 24 rewriters 450 3 normcomp
10309 SSD 3500000 256 16 32 initial_writers 450 2 normcomp
10310 SSD 3500000 256 16 32 rewriters 450 3 normcomp
10413 SSD 3500000 256 16 40 initial_writers 450 2 normcomp
10414 SSD 3500000 256 16 40 rewriters 450 3 normcomp
10517 SSD 3500000 256 16 48 initial_writers 450 2 normcomp
10518 SSD 3500000 256 16 48 rewriters 450 3 normcomp
10621 SSD 3500000 256 16 56 initial_writers 450 3 normcomp
10622 SSD 3500000 256 16 56 rewriters 450 3 lnormcomp
10681 SSD 3200000 4 4 8 initial_writers 450 3 normcomp
10682 SSD 3200000 4 4 8 rewriters 450 5 normcomp
10725 SSD 3500000 256 16 64 initial_writers 450 2 normcomp
10726 SSD 3500000 256 16 64 rewriters 450 2 normcomp
10829 SSD 3500000 256 32 1 initial_writers 450 4 lnormcomp
10830 SSD 3500000 256 32 1 rewriters 450 5 normcomp
10929 SSD 3500000 256 32 8 initial_writers 450 2 lnormcomp
10930 SSD 3500000 256 32 8 rewriters 450 4 lnormcomp
11029 SSD 3500000 256 32 16 initial_writers 450 1 normcomp
11030 SSD 3500000 256 32 16 rewriters 450 3 normcomp
11133 SSD 3500000 256 32 24 initial_writers 450 2 normcomp
11134 SSD 3500000 256 32 24 rewriters 450 2 weibullcomp
11237 SSD 3500000 256 32 32 initial_writers 450 1 gammacomp
11238 SSD 3500000 256 32 32 rewriters 450 3 normcomp
11341 SSD 3500000 256 32 40 initial_writers 450 2 lnormcomp
11342 SSD 3500000 256 32 40 rewriters 450 3 normcomp
11397 SSD 2800000 4 4 1 initial_writers 900 4 normcomp
11398 SSD 2800000 4 4 1 rewriters 900 5 lnormcomp
11445 SSD 3500000 256 32 48 initial_writers 450 2 normcomp
11446 SSD 3500000 256 32 48 rewriters 450 3 normcomp
11549 SSD 3500000 256 32 56 initial_writers 450 3 normcomp
11550 SSD 3500000 256 32 56 rewriters 450 2 weibullcomp
11653 SSD 3500000 256 32 64 initial_writers 450 2 normcomp
11654 SSD 3500000 256 32 64 rewriters 450 2 weibullcomp
11757 SSD 3500000 256 64 1 initial_writers 450 3 normcomp
11758 SSD 3500000 256 64 1 rewriters 450 5 lnormcomp
11857 SSD 3500000 256 64 8 initial_writers 450 2 normcomp
11858 SSD 3500000 256 64 8 rewriters 450 4 lnormcomp
11957 SSD 3500000 256 64 16 initial_writers 450 1 normcomp
11958 SSD 3500000 256 64 16 rewriters 450 4 normcomp
12061 SSD 2800000 4 4 8 initial_writers 900 3 lnormcomp
12062 SSD 2800000 4 4 8 rewriters 900 4 lnormcomp
12063 SSD 3500000 256 64 24 initial_writers 450 2 normcomp
12064 SSD 3500000 256 64 24 rewriters 450 3 normcomp
12171 SSD 3500000 256 64 32 initial_writers 450 1 gammacomp
12172 SSD 3500000 256 64 32 rewriters 450 2 weibullcomp
12279 SSD 3500000 256 64 40 initial_writers 450 2 lnormcomp
12280 SSD 3500000 256 64 40 rewriters 450 2 weibullcomp
12327 SSD 2300000 4 4 1 initial_writers 750 3 normcomp
12328 SSD 2300000 4 4 1 rewriters 750 5 normcomp
12387 SSD 3500000 256 64 48 initial_writers 450 1 gammacomp
12388 SSD 3500000 256 64 48 rewriters 450 3 normcomp
12495 SSD 3500000 256 64 56 initial_writers 450 1 lnormcomp
12496 SSD 3500000 256 64 56 rewriters 450 2 weibullcomp
12537 SSD 3500000 256 64 64 initial_writers 450 2 normcomp
12538 SSD 3500000 256 64 64 rewriters 450 3 normcomp
12641 SSD 3500000 256 128 1 initial_writers 450 3 lnormcomp
12642 SSD 3500000 256 128 1 rewriters 450 5 lnormcomp
12693 SSD 2300000 4 4 8 initial_writers 750 2 lnormcomp
12694 SSD 2300000 4 4 8 rewriters 750 4 lnormcomp
12745 SSD 3500000 256 128 8 initial_writers 450 3 lnormcomp
12746 SSD 3500000 256 128 8 rewriters 450 4 lnormcomp
12849 SSD 3500000 256 256 1 initial_writers 450 3 normcomp
