Policy,Max Steps,Min Changes,Max Changes,Avg Changes,L2
Fixed Step,4,1,1,1.0,0.0029129405912664214
Fixed Step,4,1,1,1.0,0.0051524134801681
Fixed Step,4,1,1,1.0,0.04913277298003252
Fixed Step,4,1,3,1.2857142857142858,0.5582775854198889
Fixed Step,4,1,3,1.4285714285714286,1.2279923646380293
Fixed Step,4,1,1,1.0,0.015121935640013504
Fixed Step,4,1,1,1.0,0.0031856983145488586
Fixed Step,4,1,1,1.0,4.530088199660219
Fixed Step,4,1,1,1.0,0.00020083558151146833
Fixed Step,4,1,1,1.0,0.0017726474081456907
Fixed Step,4,1,3,1.5,2.2499181045839727
Fixed Step,4,1,1,1.0,0.01491403415878538
Fixed Step,4,1,1,1.0,0.19253323489649965
Fixed Step,4,1,1,1.0,0.3309927925173181
Fixed Step,4,1,1,1.0,0.017994457188910296
Fixed Step,4,1,1,1.0,0.030069396656438565
Fixed Step,4,1,1,1.0,0.012251405027581706
Fixed Step,4,1,1,1.0,0.0007607403151843285
Fixed Step,4,1,1,1.0,0.502659532336476
Fixed Step,4,1,1,1.0,0.09186448775109118
Fixed Step,8,1,1,1.0,0.0029129405912664214
Fixed Step,8,1,1,1.0,0.0051524134801681
Fixed Step,8,1,1,1.0,0.04913277298003252
Fixed Step,8,1,3,1.2857142857142858,0.5582775854198889
Fixed Step,8,1,4,1.7142857142857142,1.2279917643622216
Fixed Step,8,1,1,1.0,0.015121935640013504
Fixed Step,8,1,1,1.0,0.0031856983145488586
Fixed Step,8,1,1,1.0,4.530088199660219
Fixed Step,8,1,1,1.0,0.00020083558151146833
Fixed Step,8,1,1,1.0,0.0017726474081456907
Fixed Step,8,1,4,1.75,2.2499181045839727
Fixed Step,8,1,1,1.0,0.01491403415878538
Fixed Step,8,1,1,1.0,0.19253323489649965
Fixed Step,8,1,1,1.0,0.3309927925173181
Fixed Step,8,1,1,1.0,0.017994457188910296
Fixed Step,8,1,1,1.0,0.030069396656438565
Fixed Step,8,1,1,1.0,0.012251405027581706
Fixed Step,8,1,1,1.0,0.0007607403151843285
Fixed Step,8,1,1,1.0,0.502659532336476
Fixed Step,8,1,1,1.0,0.09186448775109118
Fixed Step,16,1,1,1.0,0.0029129405912664214
Fixed Step,16,1,1,1.0,0.0051524134801681
Fixed Step,16,1,1,1.0,0.04913277298003252
Fixed Step,16,1,3,1.2857142857142858,0.5582775854198889
Fixed Step,16,1,5,2.142857142857143,1.227991292172605
Fixed Step,16,1,1,1.0,0.015121935640013504
Fixed Step,16,1,1,1.0,0.0031856983145488586
Fixed Step,16,1,1,1.0,4.530088199660219
Fixed Step,16,1,1,1.0,0.00020083558151146833
Fixed Step,16,1,1,1.0,0.0017726474081456907
Fixed Step,16,1,6,2.25,2.2499181045839727
Fixed Step,16,1,1,1.0,0.01491403415878538
Fixed Step,16,1,1,1.0,0.19253323489649965
Fixed Step,16,1,1,1.0,0.3309927925173181
Fixed Step,16,1,1,1.0,0.017994457188910296
Fixed Step,16,1,1,1.0,0.030069396656438565
Fixed Step,16,1,1,1.0,0.012251405027581706
Fixed Step,16,1,1,1.0,0.0007607403151843285
Fixed Step,16,1,1,1.0,0.502659532336476
Fixed Step,16,1,1,1.0,0.09186448775109118
Fixed Step,32,1,1,1.0,0.0029129405912664214
Fixed Step,32,1,1,1.0,0.0051524134801681
Fixed Step,32,1,1,1.0,0.04913277298003252
Fixed Step,32,1,3,1.2857142857142858,0.5582775854198889
Fixed Step,32,1,9,3.2857142857142856,1.2279912813196285
Fixed Step,32,1,1,1.0,0.015121935640013504
Fixed Step,32,1,1,1.0,0.0031856983145488586
Fixed Step,32,1,1,1.0,4.530088199660219
Fixed Step,32,1,1,1.0,0.00020083558151146833
Fixed Step,32,1,1,1.0,0.0017726474081456907
Fixed Step,32,1,9,3.0,2.2499181045839727
Fixed Step,32,1,1,1.0,0.01491403415878538
Fixed Step,32,1,1,1.0,0.19253323489649965
Fixed Step,32,1,1,1.0,0.3309927925173181
Fixed Step,32,1,1,1.0,0.017994457188910296
Fixed Step,32,1,1,1.0,0.030069396656438565
Fixed Step,32,1,1,1.0,0.012251405027581706
Fixed Step,32,1,1,1.0,0.0007607403151843285
Fixed Step,32,1,1,1.0,0.502659532336476
Fixed Step,32,1,1,1.0,0.09186448775109118
Fixed Step,64,1,1,1.0,0.0029129405912664214
Fixed Step,64,1,1,1.0,0.0051524134801681
Fixed Step,64,1,1,1.0,0.04913277298003252
Fixed Step,64,1,3,1.4285714285714286,0.5582775854198889
Fixed Step,64,1,17,5.428571428571429,1.2279912357186742
Fixed Step,64,1,1,1.0,0.015121935640013504
Fixed Step,64,1,1,1.0,0.0031856983145488586
Fixed Step,64,1,1,1.0,4.530088199660219
Fixed Step,64,1,1,1.0,0.00020083558151146833
Fixed Step,64,1,1,1.0,0.0017726474081456907
Fixed Step,64,1,16,4.75,2.2499181045839727
Fixed Step,64,1,1,1.0,0.01491403415878538
Fixed Step,64,1,1,1.0,0.19253323489649965
Fixed Step,64,1,1,1.0,0.3309927925173181
Fixed Step,64,1,1,1.0,0.017994457188910296
Fixed Step,64,1,1,1.0,0.030069396656438565
Fixed Step,64,1,1,1.0,0.012251405027581706
Fixed Step,64,1,1,1.0,0.0007607403151843285
Fixed Step,64,1,1,1.0,0.502659532336476
Fixed Step,64,1,1,1.0,0.09186448775109118
Fixed Step,128,1,1,1.0,0.0029129405912664214
Fixed Step,128,1,1,1.0,0.0051524134801681
Fixed Step,128,1,1,1.0,0.04913277298003252
Fixed Step,128,1,2,1.2857142857142858,0.5585206567317376
Fixed Step,128,1,31,9.571428571428571,1.2279911887200454
Fixed Step,128,1,1,1.0,0.015121935640013504
Fixed Step,128,1,1,1.0,0.0031856983145488586
Fixed Step,128,1,1,1.0,4.530088199660219
Fixed Step,128,1,1,1.0,0.00020083558151146833
Fixed Step,128,1,1,1.0,0.0017726474081456907
Fixed Step,128,1,30,8.25,2.2499181045839727
Fixed Step,128,1,1,1.0,0.01491403415878538
Fixed Step,128,1,1,1.0,0.19253323489649965
Fixed Step,128,1,1,1.0,0.3309927925173181
Fixed Step,128,1,1,1.0,0.017994457188910296
Fixed Step,128,1,1,1.0,0.030069396656438565
Fixed Step,128,1,1,1.0,0.012251405027581706
Fixed Step,128,1,1,1.0,0.0007607403151843285
Fixed Step,128,1,1,1.0,0.502659532336476
Fixed Step,128,1,1,1.0,0.09186448775109118
Fixed Step,256,1,1,1.0,0.0029129405912664214
Fixed Step,256,1,1,1.0,0.0051524134801681
Fixed Step,256,1,1,1.0,0.04913277298003252
Fixed Step,256,1,3,1.5714285714285714,0.5591554370018498
Fixed Step,256,1,61,18.142857142857142,1.2279911877057526
Fixed Step,256,1,1,1.0,0.015121935640013504
Fixed Step,256,1,1,1.0,0.0031856983145488586
Fixed Step,256,1,1,1.0,4.530088199660219
Fixed Step,256,1,1,1.0,0.00020083558151146833
Fixed Step,256,1,1,1.0,0.0017726474081456907
Fixed Step,256,1,57,15.0,2.2499181045839727
Fixed Step,256,1,1,1.0,0.01491403415878538
Fixed Step,256,1,1,1.0,0.19253323489649965
Fixed Step,256,1,1,1.0,0.3309927925173181
Fixed Step,256,1,1,1.0,0.017994457188910296
Fixed Step,256,1,1,1.0,0.030069396656438565
Fixed Step,256,1,1,1.0,0.012251405027581706
Fixed Step,256,1,1,1.0,0.0007607403151843285
Fixed Step,256,1,1,1.0,0.502659532336476
Fixed Step,256,1,1,1.0,0.09186448775109118
Fixed Step,512,1,1,1.0,0.0029129405912664214
Fixed Step,512,1,1,1.0,0.0051524134801681
Fixed Step,512,1,1,1.0,0.04913277298003252
Fixed Step,512,1,4,1.8571428571428572,0.5590720770126701
Fixed Step,512,1,120,35.0,1.227991176922392
Fixed Step,512,1,1,1.0,0.015121935640013504
Fixed Step,512,1,1,1.0,0.0031856983145488586
Fixed Step,512,1,1,1.0,4.530088199660219
Fixed Step,512,1,1,1.0,0.00020083558151146833
Fixed Step,512,1,1,1.0,0.0017726474081456907
Fixed Step,512,1,112,28.75,2.2499181045839727
Fixed Step,512,1,1,1.0,0.01491403415878538
Fixed Step,512,1,1,1.0,0.19253323489649965
Fixed Step,512,1,1,1.0,0.3309927925173181
Fixed Step,512,1,1,1.0,0.017994457188910296
Fixed Step,512,1,1,1.0,0.030069396656438565
Fixed Step,512,1,1,1.0,0.012251405027581706
Fixed Step,512,1,1,1.0,0.0007607403151843285
Fixed Step,512,1,1,1.0,0.502659532336476
Fixed Step,512,1,1,1.0,0.09186448775109118
Fixed Step,1024,1,1,1.0,0.0029129405912664214
Fixed Step,1024,1,1,1.0,0.0051524134801681
Fixed Step,1024,1,1,1.0,0.04913277298003252
Fixed Step,1024,1,7,2.7142857142857144,0.5592318174802243
Fixed Step,1024,1,239,69.0,1.2279911766770408
Fixed Step,1024,1,1,1.0,0.015121935640013504
Fixed Step,1024,1,1,1.0,0.0031856983145488586
Fixed Step,1024,1,1,1.0,4.530088199660219
Fixed Step,1024,1,1,1.0,0.00020083558151146833
Fixed Step,1024,1,1,1.0,0.0017726474081456907
Fixed Step,1024,1,222,56.25,2.2499181045839727
Fixed Step,1024,1,1,1.0,0.01491403415878538
Fixed Step,1024,1,1,1.0,0.19253323489649965
Fixed Step,1024,1,1,1.0,0.3309927925173181
Fixed Step,1024,1,1,1.0,0.017994457188910296
Fixed Step,1024,1,1,1.0,0.030069396656438565
Fixed Step,1024,1,1,1.0,0.012251405027581706
Fixed Step,1024,1,1,1.0,0.0007607403151843285
Fixed Step,1024,1,1,1.0,0.502659532336476
Fixed Step,1024,1,1,1.0,0.09186448775109118
